Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,Meesho: Online Shopping App,Meesho,Shopping,15 MB,4.4,15L,10Cr+,3+
2,Shopee: Online Shopping,Shopee,Shopping,68 MB,4.1,76T,1Cr+,3+
3,Instagram,Instagram,Social,41 MB,4.3,13Cr,100Cr+,12+
4,"MX Player: Videos, OTT & Games",MX Media (formerly J2 Interactive),Video Players & Editors,36 MB,4.1,1Cr,100Cr+,3+
5,speedfiy,PRIME DIGITAL PTE. LTD.,Tools,12 MB,4.5,41T,1Cr+,3+
6,Snapchat,Snap Inc,Communication,64 MB,4.2,2Cr,100Cr+,12+
7,ZOOM Cloud Meetings,zoom.us,Business,47 MB,4,34L,50Cr+,3+
8,Flipkart Online Shopping App,Flipkart,Shopping,18 MB,4.3,2Cr,10Cr+,12+
9,Telegram,Telegram FZ-LLC,Communication,28 MB,4.3,1Cr,100Cr+,12+
10,Chingari - powered by GARI,Chingari,Social,56 MB,3.8,4L,5Cr+,12+
11,mAst: Music Status Video Maker,Mast Team,Video Players & Editors,65 MB,4.3,2L,5Cr+,3+
12,Google Meet,Google LLC,Business,22 MB,4.1,20L,10Cr+,3+
13,"PhonePe: UPI, Recharge, Investment, Insurance",PhonePe,Finance,35 MB,4.3,77L,10Cr+,3+
14,Truecaller: Caller ID & Block,Truecaller,Communication,69 MB,4.3,1Cr,50Cr+,3+
15,MyJio: For Everything Jio,Jio Platforms Limited,Productivity,42 MB,4.3,1Cr,10Cr+,3+
16,Shopsy Shopping App - Flipkart,Shopsy,Shopping,17 MB,4.3,2L,1Cr+,3+
17,Facebook,"Meta Platforms, Inc.",Social,51 MB,4,12Cr,500Cr+,12+
18,WhatsApp Business,WhatsApp LLC,Communication,32 MB,4.2,69L,50Cr+,3+
19,ShareKaro: File Sharing,ShareKaro Team,Tools,14 MB,4.3,2L,5Cr+,3+
20,Gaana Music : Songs & Podcasts,Gamma Gaana Ltd,Music & Audio,31 MB,4.5,45L,10Cr+,12+
21,Amazon Prime Video,Amazon Mobile LLC,Entertainment,28 MB,4.3,32L,10Cr+,12+
22,"Paytm -UPI, Money Transfer, Recharge, Bill Payment",Paytm - One97 Communications Ltd.,Finance,31 MB,4.6,1Cr,10Cr+,3+
23,Hotstar,Novi Digital,Entertainment,23 MB,4.2,1Cr,50Cr+,12+
24,WhatsApp Messenger,WhatsApp LLC,Communication,32 MB,4.1,15Cr,500Cr+,3+
25,All Video Downloader,All Video Downloader & Story Saver Apps,Tools,7.2 MB,4.2,46T,1Cr+,3+
26,Pocket FM: Audiobook & Podcast,Pocket FM,Music & Audio,16 MB,4.2,7L,1Cr+,12+
27,ShareMe: File sharing,Xiaomi Inc.,Tools,15 MB,4.4,14L,100Cr+,3+
28,FacePlay - Face Swap Video,INNOVATIONAL TECHNOLOGIES LIMITED,Video Players & Editors,37 MB,3.5,1L,1Cr+,3+
29,Google Pay: Secure UPI payment,Google LLC,Finance,20 MB,4.2,71L,50Cr+,3+
30,PLAYit-All in One Video Player,PLAYIT TECHNOLOGY PTE. LTD.,Video Players & Editors,14 MB,4.5,35L,10Cr+,3+
31,Josh: Short Videos App,Ver Se Innovation,Social,38 MB,4.1,6L,10Cr+,12+
32,"ZEE5:Movies, Web Series & more",Z5X Global FZ LLC,Entertainment,21 MB,3.5,12L,10Cr+,12+
33,JioMart Online Shopping App,Jio Platforms Limited,Shopping,11 MB,4.3,10L,1Cr+,3+
34,"Dailyhunt - Local & National News, Videos, Cricket",Eterno Infotech,News & Magazines,13 MB,4.4,16L,10Cr+,12+
35,"Airtel Thanks – Recharge, Bill Pay, UPI & Bank",Airtel,Productivity,30 MB,4.3,57L,10Cr+,3+
36,Translate All- Easy Translator,BaronBaron,Tools,66 MB,3.5,5T,50L+,3+
37,ShareChat - Made in India,ShareChat,Social,54 MB,4.1,30L,10Cr+,12+
