Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,ZOOM Cloud Meetings,zoom.us,Business,41 MB,4,3M,500M+,3+
2,Google Meet,Google LLC,Business,20 MB,4.1,2M,100M+,3+
3,"apna: Job Search, Alerts India",apna,Business,25 MB,4.6,2L,1Cr+,12+
4,Microsoft Teams,Microsoft Corporation,Business,64 MB,4.3,4M,100M+,3+
5,"Adobe Scan: PDF Scanner, OCR",Adobe,Business,28 MB,4.6,1M,50M+,3+
6,PhonePe Business,PhonePe,Business,17 MB,4.4,2L,1Cr+,3+
7,Dhani Card with Credit & Store,Dhani Services Limited,Business,25 MB,4.2,18L,5Cr+,3+
8,"Shop101: Resell, Work From Home, Make Money App","Shop101: Work from Home Jobs, Earn Money Online",Business,14 MB,4.3,87T,1Cr+,3+
9,LinkedIn: Jobs & Business News,LinkedIn,Business,25 MB,4.3,147K,10M+,3+
10,"Scanner Go: Cam Scanner, PDF",Appyhigh Technology,Business,26 MB,4.3,1L,1Cr+,3+
11,Webex Meetings,"Cisco Systems, Inc.",Business,74 MB,4.1,17L,5Cr+,3+
12,"Khata Book Udhar Bahi Khata, Credit Ledger Account",Khatabook Business Apps,Business,13 MB,4.6,4L,5Cr+,3+
13,AnyDesk Remote Desktop Software,AnyDesk Software GmbH,Business,15 MB,3.6,82T,1Cr+,3+
14,Qjobs - Verified Jobs near you,Quess Corp,Business,25 MB,4,12T,10L+,3+
15,Hirect - Startup Jobs & Hiring,Hirect_Official,Business,30 MB,4.5,15T,10L+,3+
16,Bikayi: Whatsapp Catalogue and Make Business Easy,"Bikayi - Setup online Shop, Take Payments, orders.",Business,19 MB,4.7,47T,50L+,3+
17,Naukri.com Job Search App,infoedge.com,Business,12 MB,4.6,13L,1Cr+,3+
18,Amazon Pay For Business,Amazon Mobile LLC,Business,24 MB,4.3,15T,10L+,3+
19,"Camera Scanner: PDF Scanner, PDF Creator, Scanner",Everyday Apps by Appytome Tech,Business,26 MB,4.3,4T,10L+,3+
20,गाय भैंस wala पशुमेला - Animall app,पशु मेला - Animall,Business,3.8 MB,4.6,32T,50L+,3+
21,"Kisan App, Khetiwadi, Pashu Mela: Krishify",कृषिफाई : एग्रीकल्चर नेटवर्क ऍप - मेड इन इंडिया,Business,13 MB,4.2,30T,50L+,12+
22,Translate Language Translator,Next Generation Apps Developers,Business,7.4 MB,4.5,18T,50L+,3+
23,Amazon Seller App-Sell Online,Amazon Mobile LLC,Business,11 MB,4.1,1L,1Cr+,3+
24,"Courier, Delivery App - Porter",SmartShift Logistics Solutions Private Limited,Business,16 MB,4.7,92T,50L+,3+
25,Mantra RD Service,Mantra Softech India Pvt Ltd,Business,21 MB,4.3,27T,50L+,12+
26,IndiaMART B2B App - Buy & Sell,IndiaMART InterMESH Ltd.,Business,22 MB,4.7,4L,1Cr+,3+
27,WorkIndia Job Search App,WorkIndia,Business,10 MB,4.3,1L,1Cr+,3+
28,Flipkart Seller Hub,Flipkart,Business,14 MB,4.2,36T,50L+,3+
29,Legion Network,Legion Network,Business,42 MB,4.6,44T,5L+,3+
30,Scanner App to PDF -TapScanner,Tap-Mobile,Business,26 MB,4.5,14L,5Cr+,3+
31,OkCredit Business Ledger book,OkCredit Online Business Apps,Business,22 MB,4.4,261K,10M+,3+
32,"Resume Builder App, CV maker",Intelligent CV,Business,8.9 MB,4.5,2L,1Cr+,3+
33,Microsoft Authenticator,Microsoft Corporation,Business,37 MB,4.6,7L,5Cr+,3+
34,Dukaan - Create Online Dukan,Dukaan - Digital Store App Made in India,Business,15 MB,4.5,1L,50L+,3+
35,Vestige Online Shopping App,Vestige Marketing Pvt. Ltd.,Business,19 MB,4.3,99T,50L+,3+
36,Cash Book: Sales & Expense App,Khatabook Business Apps,Business,9.9 MB,4.4,32T,10L+,3+
37,Indeed Job Search,Indeed Jobs,Business,6.8 MB,4.4,22L,10Cr+,3+
38,Invoice Billing GST Accounting,"Invoicing, Billing, Inventory, GST, Accounting app",Business,21 MB,4.6,79T,50L+,3+
39,Clear Scan - PDF Scanner App,Indy Mobile App,Business,14 MB,4.5,3L,1Cr+,3+
40,AnyDesk control plugin (ad1),AnyDesk Software GmbH,Business,669 kB,4.2,8T,50L+,3+
41,Flipkart Wholesale - B2B shopping made easy,Flipkart Wholesale,Business,9.1 MB,4.1,5T,10L+,3+
42,Uber Driver,"Uber Technologies, Inc.",Business,68 MB,4.3,25L,10Cr+,3+
43,"myBillBook, Billing App, GST Invoicing, Accounting",Accounting | Inventory | GST Billing App,Business,28 MB,4.5,93T,50L+,3+
44,Intune Company Portal,Microsoft Corporation,Business,20 MB,3.9,95T,1Cr+,3+
45,Morpho SCL RDService,Smart Chip Private Limited,Business,4.4 MB,4.1,54T,50L+,3+
46,Mitra,Product Engg,Business,50 MB,4.1,2L,1Cr+,3+
47,Shadowfax Partner - Deliver & Earn,Shadowfax Technologies,Business,9.9 MB,3.8,43T,10L+,3+
48,Leader App - घर बैठे कमाए ₹25000 तक हर महीने,City Mall Live,Business,20 MB,4.5,16T,5L+,3+
49,Ola Driver,ola,Business,60 MB,4.4,1L,10L+,3+
50,E-Ganna,Amity Software Systems Limited,Business,4.4 MB,4.1,53T,10L+,3+
51,Relevel: Job Search App,Relevel by Unacademy,Business,16 MB,4.6,7T,1L+,3+
52,"Job Hai - Search Job, Vacancy",infoedge.com,Business,7.1 MB,4.5,953,5L+,3+
53,APY and NPS Lite by Protean,NSDL e-Governance Infrastructure Limited,Business,10 MB,4.1,15T,10L+,3+
54,PDF Converter: Photo to PDF,Simple Tool Apps,Business,9.9 MB,4.5,10T,10L+,3+
55,Buy gold | Gold loan at home | 100% safe & secure,India's Gold Loan | Buy Gold | Gold Loan at home,Business,12 MB,4.2,16T,10L+,3+
56,NPS by Protean (NSDL e-Gov),NSDL e-Governance Infrastructure Limited,Business,6.3 MB,4.1,62T,50L+,3+
57,HP PAY,Hindustan Petroleum Corporation Ltd.,Business,14 MB,4.2,31T,10L+,3+
58,IndianOil ONE,Indian Oil Corporation Ltd,Business,22 MB,4.4,3L,50L+,3+
59,ACPL FM220 Registered Device,Access Computech Pvt Ltd,Business,18 MB,4.2,12T,50L+,3+
60,CoCubes Assessment,CoCubes Technologies Pvt. Ltd.,Business,1.8 MB,4.1,9T,5L+,3+
61,Resume PDF Maker / CV Builder,DailyMobApps,Business,4.2 MB,4.2,7T,10L+,3+
