Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,Free Comics - Pratilipi Comics,Pratilipi,Comics,6.5 MB,4.3,39T,50L+,12+
2,BILIBILI COMICS - Read Comics,Bilibili Comics,Comics,38 MB,4.2,63T,50L+,12+
3,Girls Live Video Call – Video Chat,Shree Intersoft,Comics,16 MB,3.5,743,1L+,18+
4,WEBTOON,WEBTOON ENTERTAINMENT,Comics,23 MB,4.8,23L,5Cr+,12+
5,"Picasso : Live Tv show, Movies and Cricket Guide",Live Life 2021,Comics,6.2 MB,3,1T,1L+,3+
6,Ice Princess Makeup Salon,winkypinky,Comics,48 MB,3.8,2T,10L+,3+
7,"MangaToon: Web comics, stories",MangaToon,Comics,40 MB,4.3,5L,1Cr+,12+
8,Bottle Shooting Game Knock,Cooking Girls & Car Games,Comics,17 MB,4,3T,10L+,3+
9,Sniper Animal Hunting 2019,GamingVision,Comics,30 MB,3.5,1T,5L+,12+
10,temple lost oz run 3,Brownstone studios,Comics,58 MB,4,776,1L+,12+
11,Marvel Unlimited,Marvel Comics,Comics,22 MB,3.6,49T,50L+,12+
12,3D Squad Sniper Fire Game Lite,NOSCRISMA Inc.,Comics,49 MB,3.6,694,1L+,12+
13,Kross Komics – Various Comics and Rewards!,Kross Komics,Comics,12 MB,3.7,17T,10L+,12+
14,Farm Animal Simulator Farming,Dump Games,Comics,42 MB,4.1,5T,10L+,3+
15,Marvel Comics,Marvel Comics,Comics,6.7 MB,3.5,56T,1Cr+,12+
16,Play Games & Earn Money Quize,Gaga Development,Comics,9.6 MB,3.8,215,1L+,3+
17,"Toper Games Winsso - All Games, 100+ games",Rohit55,Comics,6.1 MB,4.9,247,10T+,3+
18,Hindi Jokes | हिन्दी चुटकुले,Tuneonn Inc.,Comics,14 MB,4.2,2T,5L+,3+
19,Temple Princess Endless Royal Gold Run Game,Nas Studio999,Comics,58 MB,3.9,1T,5L+,7+
20,Manta: Unlimited Comics,RIDI Corporation,Comics,27 MB,4.4,20T,10L+,12+
21,"Picasso : Live Tv show, Movies and Cricket Guide",Wallpaper Waps,Comics,10.0 MB,2.6,7,10T+,3+
22,Little Call Singam app,mboulou,Comics,8.1 MB,4.4,13,10T+,3+
23,Dinosaur Hunting Season 2019 - Target Shooting 3D,The Tycoon,Comics,27 MB,3.9,3T,10L+,12+
24,Scary Lion Crime City Attack,Victor Games Production,Comics,90 MB,4.1,956,5L+,7+
25,US Tractor Farming Simulator,PLAY ALPHA,Comics,85 MB,,,5T+,3+
26,MANGA Plus by SHUEISHA,株式会社 集英社,Comics,38 MB,4,43T,50L+,12+
27,Car Robot Transforming 2020,Robot Superhero Games,Comics,48 MB,4.3,3T,10L+,12+
28,Malayalam Stickers 2022.,GrandApps31,Comics,39 MB,3.8,852,5L+,3+
29,Lost Temple Princess Oz Final Run,App Mag,Comics,58 MB,4.1,21T,1Cr+,7+
30,Free Battle Royale: Battleground Survival,Migane,Comics,41 MB,3.6,6T,10L+,16+
31,Real City Ambulance Simulator & Rescue,IK Productions,Comics,74 MB,3.9,791,5L+,12+
