Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,HealthifyMe - Calorie Counter,"HealthifyMe (Calorie Counter, Weight Loss Coach)",Health & Fitness,44 MB,4.4,3L,1Cr+,3+
2,Skin-scan: Hand Protection,3B Gamse Studio,Health & Fitness,49 MB,4.3,2T,5L+,3+
3,Aarogya Setu,National Informatics Centre.,Health & Fitness,3.1 MB,3.8,16L,10Cr+,3+
4,Mylab CoviSelf,Mylab Discovery Solutions,Health & Fitness,26 MB,2.3,1T,5L+,3+
5,Co-WIN Vaccinator App,National Health Portal-MoHFW,Health & Fitness,11 MB,2.8,1L,1Cr+,3+
6,Home Workout - No Equipment,Leap Fitness Group,Health & Fitness,17 MB,4.8,24L,10Cr+,3+
7,Six Pack in 30 Days,Leap Fitness Group,Health & Fitness,14 MB,4.8,18L,10Cr+,12+
8,NoiseFit: Health & Fitness,Noise,Health & Fitness,11 MB,4.1,1L,10L+,3+
9,Body Editor & Photo Editor,InShot Inc.,Health & Fitness,17 MB,4.4,1L,1Cr+,12+
10,Lose Weight App for Men,Leap Fitness Group,Health & Fitness,14 MB,4.9,13L,5Cr+,3+
11,eSanjeevaniOPD - National Teleconsultation Service,"Health Informatics Group, C-DAC Mohali, INDIA",Health & Fitness,9.9 MB,3.8,7T,10L+,3+
12,Increase Height Workout,Leap Fitness Group,Health & Fitness,13 MB,4.7,3L,5Cr+,3+
13,Google Fit: Activity Tracking,Google LLC,Health & Fitness,13 MB,4,4L,10Cr+,3+
14,Skincare App & Treatment For Hair Loss: CureSkin,CureSkin Labs India,Health & Fitness,61 MB,3.9,14T,50L+,3+
15,Lose Weight App for Women,Leap Fitness Group,Health & Fitness,16 MB,4.7,7L,5Cr+,3+
16,boAt ProGear,Imagine Marketing Private Limited,Health & Fitness,31 MB,3.8,13T,10L+,3+
17,Workout for Women: Fit at Home,Leap Fitness Group,Health & Fitness,18 MB,4.8,5L,5Cr+,3+
18,BeatO SMART Diabetes Management,BeatO,Health & Fitness,42 MB,4.2,19T,10L+,3+
19,Mi Fit,"Anhui Huami Information Technology Co.,Ltd.",Health & Fitness,67 MB,4.1,23L,10Cr+,3+
20,CoviFind,Meril Life Sciences,Health & Fitness,40 MB,2.2,287,1L+,3+
21,boAt Wave,Imagine Marketing Private Limited,Health & Fitness,72 MB,4,5T,5L+,3+
22,Lose Weight in 30 Days,Simple Design Ltd.,Health & Fitness,18 MB,4.7,8L,5Cr+,3+
23,"Step Counter - Pedometer, MStep",Leap Fitness Group,Health & Fitness,11 MB,4.8,9L,5Cr+,3+
24,"Step Tracker - Pedometer, iStep",Leap Fitness Group,Health & Fitness,11 MB,4.8,4L,1Cr+,3+
25,Fasting - Intermittent Fasting,Leap Fitness Group,Health & Fitness,13 MB,4.8,4L,1Cr+,3+
