Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,Pinterest,Pinterest,Lifestyle,25 MB,4.4,87L,50Cr+,12+
2,ECO Mitram,Ready Bytes,Lifestyle,7.7 MB,4.1,1T,5L+,3+
3,magicpin: shop at local stores,magicpin: cashback / home delivery on local retail,Lifestyle,25 MB,4.1,1L,50L+,3+
4,Trell - Lifestyle Videos and Shopping App,Trell Experiences,Lifestyle,24 MB,4.4,1L,1Cr+,12+
5,Google Home,Google LLC,Lifestyle,19 MB,4,11L,10Cr+,3+
6,AstroSage Kundli : Astrology,Ojas Softech Pvt Ltd,Lifestyle,12 MB,4.4,3L,1Cr+,3+
7,Sri Mandir - Your Own Temple,Sri Mandir,Lifestyle,31 MB,4.8,37T,10L+,3+
8,Counter Terrorist Gun Strike : Ops Battleground,Dawn studios,Lifestyle,91 MB,3.9,27T,10L+,16+
9,Tinder - Match. Chat. Date. Your Way.,Tinder,Lifestyle,57 MB,3,45L,10Cr+,18+
10,QuackQuack Dating App in India,QuackQuack.in,Lifestyle,14 MB,3.8,3L,1Cr+,18+
11,Fashion Girls Princess Makeup and Dress up Games,SOCEM,Lifestyle,53 MB,4,28T,50L+,12+
12,Fingerprint Scan - Daily Tarot,Zen Solutions Apps,Lifestyle,17 MB,4.3,23T,10L+,3+
13,Waka Pro - Video & Chat,RAHUL AGARWAL,Lifestyle,32 MB,4.2,1T,1L+,18+
14,Amazon Alexa,Amazon Mobile LLC,Lifestyle,91 MB,4.3,10L,5Cr+,3+
15,realme Link,realme Mobile,Lifestyle,56 MB,4.4,3L,50L+,3+
16,"NoBroker Flat, Apartment, House, Rent, Buy & Sell",NoBroker Technologies Solutions Pvt Ltd,Lifestyle,14 MB,4.5,1L,1Cr+,3+
17,Astrotalk - Talk to Astrologer,AstroTalk.com,Lifestyle,39 MB,4.5,1L,10L+,3+
18,mRewards - Games & Earn Money,Game Master's,Lifestyle,6.4 MB,4.1,1T,50T+,3+
19,TrulyMadly: Indian Dating App,TrulyMadly.com,Lifestyle,33 MB,3.4,79T,50L+,18+
20,Magicbricks Property Search & Real Estate App,MagicBricks Reality Services Ltd,Lifestyle,20 MB,4.5,1L,1Cr+,3+
21,Yocoins- Earn Money Online,XingxingM,Lifestyle,6.7 MB,4.5,2T,5L+,3+
22,Clarity: Feel Happy Again,Clarity App,Lifestyle,17 MB,4.8,8T,5L+,12+
23,H&M - we love fashion,H&M,Lifestyle,24 MB,4.6,7L,5Cr+,3+
24,Cupidabo – flirt chat & dating,MatchLab,Lifestyle,23 MB,3.1,29T,10L+,18+
25,happn – Dating app,happn,Lifestyle,32 MB,3.3,16L,5Cr+,18+
26,"Eloelo -Live Video Chat, Games",Eloelo: Play LIVE Games & Win | Made In India App,Lifestyle,39 MB,4.6,11T,10L+,12+
27,Aisle — Dating App For Indians,Aisle Network Pvt. Ltd.,Lifestyle,16 MB,4.4,1L,50L+,18+
28,Astroyogi: Online Astrology,Astroyogi.com,Lifestyle,23 MB,4.6,24T,10L+,3+
29,Muslim Pro Quran Qibla Compass,Bitsmedia Pte Ltd,Lifestyle,27 MB,4.5,17L,5Cr+,3+
30,Ablo - Nice to meet you!,MassiveMedia,Lifestyle,63 MB,4,5L,1Cr+,12+
