Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,PharmEasy - Healthcare App,Axelia Solutions Private Limited,Medical,18 MB,4.6,5L,1Cr+,3+
2,TATA 1mg Online Healthcare App,Tata 1MG Healthcare Solutions Private Limited,Medical,12 MB,4.5,4L,1Cr+,3+
3,Netmeds - India Ki Pharmacy,Netmeds Marketplace Limited,Medical,17 MB,4.3,3L,1Cr+,3+
4,Apollo 247 - Online Doctor & Apollo Pharmacy App,Apollo Hospitals Enterprise Limited,Medical,37 MB,4.2,1L,50L+,3+
5,Phable: Health Tracker for Diabetes & Hypertension,PhableCare,Medical,51 MB,3.6,24T,10L+,3+
6,Healthians -Full Body Checkup,Healthians.com,Medical,36 MB,4.4,13T,10L+,3+
7,"Eka Care: Health Records, ABHA",Eka Care,Medical,16 MB,4.6,9T,10L+,3+
8,Truemeds - online medicine app,Intellihealth Solutions Private Limited,Medical,15 MB,4.2,33T,10L+,3+
9,Practo: Online Doctor Consultations & Appointments,"Practo - Doctors, Consult Online, Order Medicines",Medical,30 MB,4.5,2L,50L+,3+
10,Zeno Health - Generic Pharmacy,Workcell Solutions Pvt. Ltd.,Medical,4.6 MB,3.8,1T,1L+,3+
11,RT-PCR,National Informatics Centre.,Medical,23 MB,3.4,5T,10L+,3+
12,"MediBuddy -Consult Doctor Online, Book Blood Test","Online Doctor, Lab Test, Health Check up",Medical,42 MB,4.2,1L,10L+,3+
13,Finserv Health Doctor near me,"Bajaj Finserv Health: Consult Online, Aarogya Care",Medical,30 MB,4.5,10T,10L+,3+
14,"MFine - Online Doctors, Lab Tests",mfine - Consult Online with Doctor & Book Lab Test,Medical,36 MB,4.5,71T,50L+,3+
15,"SastaSundar-Genuine Medicine, Pathology,Doctor App",SastaSundar Marketplace Limited,Medical,7.1 MB,4.6,83T,10L+,3+
16,MedPlus Mart - Online Pharmacy,MedPlus Health Services Pvt. Ltd,Medical,8.0 MB,4.3,24T,10L+,3+
17,Dr Lal PathLabs,Dr Lal PathLabs,Medical,23 MB,4,17T,10L+,3+
18,ALHOSN UAE,Ministry of Health and Prevention - UAE,Medical,8.8 MB,4.4,44T,50L+,3+
19,Breast Cancer Guide,Expert Health Studio,Medical,4.9 MB,3.5,10T,50L+,18+
20,WellnessForever - Most Trusted Online Medicine App,Wellness,Medical,26 MB,3.9,6T,10L+,3+
21,Docon for Patients,Docon Technologies Private Limited,Medical,26 MB,4.8,8T,5L+,3+
22,mySugr - Diabetes Tracker Log,mySugr GmbH,Medical,52 MB,4.3,63T,10L+,3+
23,MedShr: Discuss Clinical Cases,MedShr,Medical,15 MB,3.8,9T,10L+,3+
24,NDHM Health Records,National Health Authority,Medical,16 MB,3.1,1T,1L+,3+
25,Netmeds Wholesale,Netmeds Marketplace Limited,Medical,11 MB,3.1,594,1L+,3+
