Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,"Dailyhunt - Local & National News, Videos, Cricket",Eterno Infotech,News & Magazines,13 MB,4.4,16L,10Cr+,12+
2,"Dainik Bhaskar:Hindi News Paper App, ePaper, Video",Dainik Bhaskar Group,News & Magazines,8.3 MB,4.3,3L,1Cr+,3+
3,Aaj Tak Live - Hindi News App,TV Today Network Limited,News & Magazines,14 MB,4,2L,5Cr+,3+
4,"Narendra Modi - Latest News, Videos and Speeches",NarendraModi.in,News & Magazines,47 MB,4.4,2L,1Cr+,3+
5,Koo: Connect with People!,Koo India,News & Magazines,16 MB,4.5,2L,1Cr+,12+
6,"Divya Bhaskar: Gujarati Epaper, Local & Video News",Dainik Bhaskar Group,News & Magazines,8.1 MB,4.4,1L,1Cr+,3+
7,Inshorts - 60 words News summary,Inshorts,News & Magazines,14 MB,4.3,5L,1Cr+,3+
8,"Times of India-Live, City News",Times Internet Limited,News & Magazines,27 MB,3.8,5L,1Cr+,3+
9,"Quora — Ask Questions, Get Answers","Quora, Inc.",News & Magazines,7.3 MB,4.3,7L,1Cr+,12+
10,Kisan samman nidhi yojana 2021-22,Rajkumar 1m apps,News & Magazines,6.3 MB,4.2,816,1L+,3+
11,"JioNews - Live News, Videos, Newspaper, Magazines",Jio Media Limited,News & Magazines,14 MB,4.4,1L,1Cr+,3+
12,Barodapedia,Bank of Baroda,News & Magazines,1.2 MB,4.1,7T,10L+,3+
13,ABP Live TV Hindi News Channel,ABP Network,News & Magazines,18 MB,4.2,2L,1Cr+,3+
14,Mint: Business & Stock Market,HT Media Ltd,News & Magazines,21 MB,4.5,26T,10L+,3+
15,"Amar Ujala Hindi News, ePaper",Amarujala,News & Magazines,7.0 MB,4.4,30T,10L+,3+
16,Zee News: Live News in Hindi,ZEE MEDIA CORPORATION LTD,News & Magazines,9.7 MB,4.4,79T,1Cr+,3+
17,Editorji - Latest Video news,Editorji Technologies Private Limited,News & Magazines,15 MB,4.2,2T,10L+,3+
18,Dainik Jagran Hindi News,Jagran Prakashan Limited,News & Magazines,21 MB,4,1L,1Cr+,3+
19,The Hindu: Live News Updates,THG Publishing Private Limited,News & Magazines,24 MB,4.4,2L,1Cr+,3+
20,Twitter Lite,"Twitter, Inc.",News & Magazines,252 kB,2.9,1L,1Cr+,12+
21,Sarkari Naukri - Govt Job alerts (Government jobs),Jagran Prakashan Limited,News & Magazines,11 MB,4,67T,50L+,3+
22,"The Economic Times: Sensex, Market & Business News",Times Internet Limited,News & Magazines,25 MB,4.4,2L,50L+,3+
23,Breaking News: Local & Alerts,SAFE APPS,News & Magazines,19 MB,4.2,1L,1Cr+,3+
24,Hindi News Live TV | Hindi News Live,Hindi News Live Channel Apps,News & Magazines,7.5 MB,4.3,5T,1L+,3+
25,"Latest News, Epaper by Hindustan Times – News App",HT Media Ltd,News & Magazines,9.9 MB,4.5,19T,10L+,3+
26,NBT Hindi News App and Live TV,Times Internet Limited,News & Magazines,14 MB,3.8,67T,50L+,3+
27,Google News - Daily Headlines,Google LLC,News & Magazines,11 MB,4.3,16L,100Cr+,18+
28,Aadhan - Short News & Curated Videos,Aadhan Media Private Limited,News & Magazines,16 MB,3.9,11T,10L+,3+
29,"Hindustan - Hindi News, Epaper",HT Media Ltd,News & Magazines,11 MB,4.1,20T,10L+,3+
30,Modi 11,Modi 11,News & Magazines,5.8 MB,4.5,1T,5L+,3+
31,"Zee Business: NSE, BSE & Market News",ZEE MEDIA CORPORATION LTD,News & Magazines,9.7 MB,4.7,8T,5L+,3+
32,NewsOnAir: Prasar Bharati Official App News+Live,"Prasar Bharati (All India Radio, Doordarshan)",News & Magazines,7.0 MB,4,45T,10L+,3+
33,जॉब कार्ड - मनरेगा Nrega 2019 - 2020 All Services,Online Seva,News & Magazines,3.0 MB,4.2,2T,10L+,3+
34,NDTV India Hindi News,NDTV Official App,News & Magazines,17 MB,4.5,50T,50L+,3+
35,Mappila Haal,SIO KERALA,News & Magazines,52 MB,4.9,1T,10T+,3+
36,ZEE 24 Taas: Marathi News Live,ZEE MEDIA CORPORATION LTD,News & Magazines,11 MB,4.3,441,1L+,3+
37,"Magzter: Magazines, Newspapers",Magzter Inc.,News & Magazines,32 MB,4.2,37T,10L+,16+
38,Medium,A Medium Corporation,News & Magazines,15 MB,4.4,1L,50L+,12+
39,Vikatan: Tamil News & Magazine,VIKATAN.COM PRIVATE LIMITED,News & Magazines,15 MB,4.7,31T,10L+,3+
40,Republic TV – Live Breaking News,Republic World,News & Magazines,5.6 MB,4.5,1L,10L+,3+
41,"India TV - Latest Hindi News Live, Video",IndiaTV,News & Magazines,25 MB,4.1,14T,10L+,3+
42,You Dictionary- U Dictionary Indian,DigitalStar Ltd.,News & Magazines,11 MB,3.8,1T,1L+,3+
43,PM Kisan Samman Nidhi Yojna | PM Kisan Yojna 2021,Kisan Samman Nidhi Yojna Apps,News & Magazines,8.5 MB,4.3,1T,1L+,3+
44,Newscom - Latest News Round the Clock,NewsApp Global,News & Magazines,11 MB,4,2T,5L+,3+
45,Patrika Hindi News App: Latest Hindi News & ePaper,Rajasthan Patrika Pvt. Ltd.,News & Magazines,12 MB,2,28T,10L+,3+
46,Economist,The Economist Newspaper,News & Magazines,19 MB,4.7,33T,5L+,3+
47,"India News, Headlines & epaper - Indian Express",The Indian Express Online,News & Magazines,13 MB,4.3,38T,10L+,3+
48,NDTV News - India,NDTV Official App,News & Magazines,17 MB,4,1L,50L+,3+
