Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,MyJio: For Everything Jio,Jio Platforms Limited,Productivity,42 MB,4.3,1Cr,10Cr+,3+
2,"Airtel Thanks – Recharge, Bill Pay, UPI & Bank",Airtel,Productivity,30 MB,4.3,57L,10Cr+,3+
3,"Share Karo: Transfer, Share it",ShareKaro Team,Productivity,12 MB,4.3,53T,1Cr+,3+
4,Junk Smasher - Phone Cleaner,InnoDev Pro Team,Productivity,11 MB,4.1,87T,1Cr+,3+
5,Global- Fast VPN Proxy Servers,BaronBaron,Productivity,10 MB,3.4,3T,50L+,3+
6,Vi App - Recharges & Music,Vodafone Idea Ltd.,Productivity,46 MB,4,26L,5Cr+,3+
7,PDF Reader - PDF Viewer,TrustedApp,Productivity,31 MB,4.5,2L,1Cr+,3+
8,DigiLocker,"National eGovernance Division, Government of India",Productivity,26 MB,4.1,3L,1Cr+,3+
9,"OKEN - CamScanner, PDF scanner",CAMBYTE Pte. Ltd.,Productivity,31 MB,4.7,6T,10L+,3+
10,Status Saver Down for Whatsapp,Shree Ganesha Labs,Productivity,3.7 MB,4.3,6L,10Cr+,12+
11,UMANG,"MeitY, Government Of India",Productivity,18 MB,4.3,2L,1Cr+,3+
12,Document Scanner (Made in India) - PDF Creator,Lufick,Productivity,35 MB,4.5,5L,1Cr+,3+
13,"Image to PDF Converter - JPG to PDF, PDF Maker",Simple Design Ltd.,Productivity,9.8 MB,4.8,4L,1Cr+,3+
14,"WPS Office-PDF,Word,Excel,PPT",WPS SOFTWARE PTE. LTD.,Productivity,65 MB,4.5,36L,10Cr+,3+
15,mParivahan,National Informatics Centre.,Productivity,16 MB,4.4,4L,1Cr+,3+
16,PDF Viewer - PDF Reader,Photo Video Maker With Music Studio,Productivity,7.5 MB,4.6,32T,10L+,3+
17,Adobe Acrobat Reader: Edit PDF,Adobe,Productivity,48 MB,4.4,49L,50Cr+,3+
18,"Document Reader: PDF, Word, Excel, All Office File",AdTrue Global,Productivity,31 MB,4,21T,10L+,3+
19,Speed Master-Unlimited Proxy,Super Fast VPN LLC,Productivity,12 MB,3.3,582,5L+,3+
20,"Share Karo: Share Apps, File Transfer, Shareit",Appyhigh Technology,Productivity,22 MB,4.3,21T,1Cr+,3+
21,All Document Reader and Viewer,TrustedApp,Productivity,17 MB,4.6,3L,1Cr+,3+
22,Krishe: Farming & agriculture app for Kisan Krishi,Krish-e,Productivity,34 MB,4.4,1T,10L+,3+
23,"PDF Scanner, Cam Scan - Kaagaz",Kaagaz Apps,Productivity,21 MB,4.5,1L,50L+,3+
24,Google Sheets,Google LLC,Productivity,27 MB,4.3,9L,100Cr+,3+
25,Microsoft Office: Edit & Share,Microsoft Corporation,Productivity,99 MB,4.5,9L,50Cr+,3+
26,Microsoft Word: Edit Documents,Microsoft Corporation,Productivity,72 MB,4.2,65L,100Cr+,3+
27,WiFi Passwords by Instabridge,Degoo Backup AB - Cloud,Productivity,43 MB,3.7,15L,10Cr+,12+
28,Google Drive,Google LLC,Productivity,15 MB,4.2,87L,500Cr+,3+
29,Microsoft Excel: Spreadsheets,Microsoft Corporation,Productivity,68 MB,4.2,34L,100Cr+,3+
30,Google Docs,Google LLC,Productivity,31 MB,4.3,16L,100Cr+,3+
31,BSNL Selfcare,BSNL,Productivity,6.0 MB,4.3,33T,10L+,3+
32,Google Assistant,Google LLC,Productivity,774 KB,4.2,5L,50Cr+,3+
33,Microsoft PowerPoint,Microsoft Corporation,Productivity,64 MB,4.2,19L,100Cr+,3+
34,Image to PDF Converter,vidlabs,Productivity,8.6 MB,4.2,2L,1Cr+,3+
35,"vFlat Scan - PDF Scanner, OCR",VoyagerX,Productivity,14 MB,4.5,38T,50L+,3+
36,"Share: File Transfer, Share it",India Share Team,Productivity,8.8 MB,4.4,19T,1Cr+,3+
37,"Lio - Excel, Notebook, Register",Swific Technology Pvt Ltd,Productivity,26 MB,4.5,11T,10L+,3+
38,ClevCalc - Calculator,Cleveni Inc.,Productivity,6.5 MB,4.4,6L,5Cr+,3+
39,X File Sender - File Transfer,ABS PVT.LTD,Productivity,6.6 MB,4,6T,50L+,3+
40,2022 Calendar,Nithra,Productivity,16 MB,4.5,1L,1Cr+,3+
41,Hindi Translator Keyboard,Voice Text,Productivity,14 MB,4.1,14T,50L+,3+
42,"SKAN: Cam Scanner, PDF Scanner",Everyday Apps by Appytome Tech,Productivity,26 MB,4.3,4T,10L+,3+
43,Shubh Calendar - 2022 Calendar,PeakeCorp,Productivity,7.0 MB,4.4,83T,1Cr+,3+
44,BharatAgri: Smart Kisaan App,Best And Trusted Agriculture Digital Farming,Productivity,17 MB,4.1,7T,10L+,3+
45,True Indian File Transfer : Share Music & Videos,vel murugan,Productivity,7.0 MB,3.9,3T,10L+,3+
46,Microsoft Outlook,Microsoft Corporation,Productivity,65 MB,4.6,73L,50Cr+,3+
47,PDF Reader Pro: Edit PDF,PDF Office Lab,Productivity,30 MB,4.6,31T,50L+,3+
48,QR & Barcode Reader,TeaCapps,Productivity,2.9 MB,4.2,11L,10Cr+,3+
49,Fast Followers & Likes for Instagram - Get Real +,GARCIA POP CO,Productivity,11 MB,4.3,1L,10L+,3+
50,Notisave,TENQUBE Inc.,Productivity,7.6 MB,3.8,59T,1Cr+,3+
51,"E2PDF - Backup Restore SMS,Call,Contact,TrueCaller",Day Dreamer LLC,Productivity,24 MB,4.2,21T,50L+,3+
52,PDF Maker,OrangePalm,Productivity,18 MB,4,24T,50L+,3+
53,Caller ID & Spam Blocker,Ayamote Team,Productivity,6.7 MB,4.1,96T,1Cr+,3+
54,My BSNL App,BSNL,Productivity,35 MB,2.9,1L,1Cr+,3+
55,"File Sender & Share App, Send Fast & Send Anywhere",File Sender App,Productivity,12 MB,4.3,19T,50L+,3+
56,AppLock Pro - App Lock & Privacy Guard for Apps,Eywin Apps,Productivity,12 MB,4.3,1L,1Cr+,3+
57,"Super File Transfer - Share Music, Videos & Apps",Goalkey Solutions,Productivity,10 MB,4.1,2T,10L+,3+
58,MEGA,Mega Ltd,Productivity,33 MB,4.4,10L,10Cr+,3+
59,Driving Licence Apply Online,Right Apps Services,Productivity,6.5 MB,3.9,4T,10L+,3+
60,Cash App: Recharge Earning app,Reward Supreme,Productivity,4.4 MB,4.4,28T,5L+,3+
61,Your Phone Companion - Link to Windows,Microsoft Corporation,Productivity,28 MB,4.3,5L,50Cr+,3+
62,Story Saver Download for Insta,Story Saver & Video Downloader,Productivity,5.0 MB,4.4,8T,10L+,3+
63,My FASTag,Indian Highways Management Company Ltd.,Productivity,11 MB,3.9,52T,50L+,3+
64,AgriCentral,AgriCentral,Productivity,16 MB,4.1,14T,50L+,3+
65,Krishe Nidaan: Agriculture app,Krish-e,Productivity,9.4 MB,3.8,899,5L+,3+
66,Mera Ration,"National Informatics Centre, FCA Division",Productivity,25 MB,3.8,7T,10L+,3+
67,Fast File Transfer And Sharing Music & Videos App,Fast File Transfer 2021,Productivity,11 MB,4,2T,10L+,3+
68,Google Slides,Google LLC,Productivity,38 MB,4.2,5L,50Cr+,3+
69,File Manager,File Manager Plus,Productivity,5.7 MB,4.4,11L,5Cr+,3+
70,Microsoft Lens - PDF Scanner,Microsoft Corporation,Productivity,55 MB,4.7,7L,1Cr+,3+
71,SurveyHeart - Make Form & Exam,SurveyHeart LLP,Productivity,8.2 MB,4.2,10T,10L+,3+
72,Velvet Phone Cleaner & Booster,Velvet Apps,Productivity,11 MB,4.2,35T,50L+,3+
73,Camera Scanner - PDF Scanner App,Devkrushna Infotech,Productivity,18 MB,4.2,14T,10L+,3+
