Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,Rooter: Watch Gaming & Esports,Rooter Sports,Sports,26 MB,4.3,3L,1Cr+,12+
2,Da Fit,CRREPA,Sports,8.5 MB,3.9,86T,1Cr+,3+
3,Live Cricket & Scores: FanCode,Sporta Technologies Private Limited,Sports,27 MB,4.1,1L,1Cr+,12+
4,Cricket Scoring App | Live Score - CricHeroes,CricHeroes Pvt. Ltd.,Sports,19 MB,4.6,97T,50L+,3+
5,iMPL Game - Play Games & Earn Money From iMPL Game,iMPL Game,Sports,8.6 MB,3.7,2T,10L+,3+
6,Cricbuzz - Live Cricket Scores & News,Cricbuzz.com,Sports,13 MB,4.2,13L,10Cr+,3+
7,India Vs Pakistan Kite Fly Adventure for Fun,BKSON,Sports,68 MB,4.3,12T,50L+,3+
8,Cricket Exchange - Live Scores,Cricket Exchange,Sports,18 MB,4.5,3L,1Cr+,12+
9,vivo Pro Kabaddi,STAR India Pvt. Ltd.,Sports,5.3 MB,4.3,69T,50L+,3+
10,GoGoal - Social Football Games,TCM INPLAY LIMITED,Sports,36 MB,4.3,2L,10L+,12+
11,Cricket Line Guru : Live Line,Cricket Line Guru,Sports,9.4 MB,4.2,1L,1Cr+,3+
12,WinOZ Game - Play Game & Win,S Tune,Sports,5.6 MB,3.5,35,10T+,18+
13,Live Cricket TV HD - Sports TV,Livecrickettvhd.com,Sports,16 MB,3.7,209,1L+,3+
14,Zepp,Huami Inc.,Sports,98 MB,4.3,6L,1Cr+,3+
15,Superhero Bike Wala Game Taxi,Play 10,Sports,54 MB,4.1,9T,50L+,3+
16,Live Cricket TV - HD Live Cricket 2021,Niks Infotech,Sports,10 MB,2.8,956,10L+,3+
17,Sports Guru Pro,Sports Guru Pro,Sports,12 MB,4.2,9T,5L+,3+
18,Cricket 777 Cricket Live Line,Vishal Sharma777,Sports,3.0 MB,3.8,62,1L+,3+
19,MyTeam11 : Expert Prediction,HD Cricket Apps,Sports,5.7 MB,4.2,247,10T+,3+
20,Cricket Dabba Fast Live Line,Gaurav Tejpal,Sports,5.3 MB,,,5T+,3+
21,Sky Exchange,Skyexchange,Sports,6.2 MB,4.2,59,1L+,3+
22,PerfectLineup - Fantasy Teams,Vinfotech,Sports,15 MB,4.2,2T,10T+,3+
23,Moto Bike Highway Rider Racing,Roadster Inc - 3D Games Action & Simulation,Sports,78 MB,3.8,14T,50L+,3+
24,SofaScore: Football livescores,SofaScore,Sports,12 MB,4.6,6L,1Cr+,3+
25,Sports Live,Olyselenic,Sports,3.4 MB,3.9,91,1L+,3+
26,Cricket Ground Line,Dailydose,Sports,5.4 MB,4.6,103,10T+,3+
27,Play Game App - Earn By Play Online Quiz Games,Crelzos Decora,Sports,9.6 MB,3.8,108,50T+,3+
28,My11Circle App - My11circle Team Prediction & Tips,My11 Millionaire,Sports,8.0 MB,3.7,447,5L+,3+
29,Scores Pick - Soccer Games,Nesoitech,Sports,29 MB,3.9,22,10T+,12+
30,Rapid Cricket Live Line,SriSatyam,Sports,2.4 MB,,,10T+,3+
31,Cricbuzz - In Indian Languages,Cricbuzz.com,Sports,4.7 MB,4,69T,1Cr+,3+
32,Cric Team 11 : Live Score,Chirag Team Experts,Sports,9.7 MB,4.1,3T,10L+,3+
33,Anna Cricket Live Line,Anna Cricket Line,Sports,2.9 MB,3.3,7,10T+,3+
34,Air Balloon Shooting Game,World Sports Arena,Sports,58 MB,4.1,911,5L+,12+
35,Baazigar Cricket Ground Line,Anurag Singh Chauhan,Sports,3.1 MB,,,5T+,3+
36,Grand Vegas City Auto Crime,Nitro Kings,Sports,51 MB,3.8,6T,10L+,16+
37,Gtv Live Sports,Live Sports BD,Sports,9.7 MB,2.8,1L,1Cr+,3+
38,Car Games Prado Racing Games,Zamsolutions,Sports,44 MB,3.9,1T,10L+,3+
