Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,speedfiy Pro,PRIME DIGITAL PTE. LTD.,Tools,13 MB,4.4,31K,5M+,3+
2,All Video Downloader,All Video Downloader & Story Saver Apps,Tools,7.2 MB,4.2,49T,1Cr+,3+
3,ShareKaro: File Sharing,ShareKaro Team,Tools,14 MB,4.4,2L,5Cr+,3+
4,Noizz: video editor with music,Noizz Team,Tools,37 MB,4,5L,10Cr+,12+
5,speedfiy,PRIME DIGITAL PTE. LTD.,Tools,12 MB,4.4,45T,1Cr+,3+
6,ShareMe: File sharing,Xiaomi Inc.,Tools,15 MB,4.4,14L,100Cr+,3+
7,Translate All- Easy Translator,BaronBaron,Tools,66 MB,3.4,6T,50L+,3+
8,Calculator Lock: Gallery Vault,Smart Utils Dev Team,Tools,34 MB,4.3,92T,1Cr+,3+
9,Vast VPN - Secure VPN Proxy,Vast Security Innovation Lab,Tools,15 MB,4.1,35T,1Cr+,3+
10,File Recovery,File Recovery,Tools,7.0 MB,3.8,7T,50L+,3+
11,FastCandy - Private & Fast,Sung-hwi Lee,Tools,11 MB,3.7,2T,10L+,3+
12,Swift Booster - Smart Cleaner,Pangolin Tech,Tools,13 MB,4.1,57T,1Cr+,3+
13,Files by Google,Google LLC,Tools,6.2 MB,4.4,5M,1B+,3+
14,Vido : Lyrical Video Status Maker,Vido - Video Status Maker,Tools,19 MB,4.1,3L,5Cr+,3+
15,Call Flash - Colorful phone,Privacy Guard +,Tools,33 MB,3.5,2T,10L+,3+
16,Speed VPN - Fast Secure Proxy,Key APP Team,Tools,11 MB,3.8,1T,10L+,3+
17,InShare - Share Apps & File Transfer,InShot Inc.,Tools,10 MB,4.6,3L,5Cr+,3+
18,X Sender Share: File Transfer,Everyday Apps by Appytome Tech,Tools,23 MB,4.2,8T,10L+,3+
19,RavoVPN-Security&Privacy& Fast Proxy,Five Oceans E-Commerce,Tools,14 MB,4.3,71T,1Cr+,3+
20,Clean Master Ultra - Clean and Boost,Jomapp LLC,Tools,9.6 MB,3.7,1L,1Cr+,3+
21,Biugo-video maker&video editor,Noizz Team,Tools,41 MB,3.9,1L,5Cr+,3+
22,MVBit- MV video status maker,mvbit,Tools,38 MB,4,81T,1Cr+,12+
23,Save Video Status for WhatsApp,"Status Images, inc. Photo & Video Downloader Apps",Tools,5.8 MB,4.6,80T,1Cr+,3+
24,ZArchiver,ZDevs,Tools,4.3 MB,4.4,10L,10Cr+,3+
25,Fast Clean,swmail9@gmail.com,Tools,13 MB,3.6,5T,1Cr+,3+
26,Sticker.ly - Sticker Maker,"SNOW, Inc.",Tools,32 MB,4.3,15L,10Cr+,12+
27,iFace: AI Cartoon Photo Editor,PENGPENG,Tools,47 MB,3.8,2T,10L+,3+
28,Mystery Lite,Mystery Solutions PTE.LTD.,Tools,15 MB,3.7,57T,1Cr+,3+
29,AppLock,DoMobile AppLock,Tools,19 MB,4,83T,1Cr+,3+
30,All Recovery : Photo Video & Contacts,Photo and Video apps,Tools,6.4 MB,3.9,61T,50L+,3+
31,mAadhaar,Unique Identification Authority of India,Tools,21 MB,3.4,2L,1Cr+,3+
32,QR Scanner,AppWords Group,Tools,17 MB,3.7,339,10L+,3+
33,"Smart Clean-Booster,Cleaner",lj1831952@gmail.com,Tools,12 MB,3.7,24T,5Cr+,3+
34,Google Translate,Google LLC,Tools,25 MB,4.4,8M,1B+,3+
35,Powerful Cleaner,Louis  Campbell,Tools,21 MB,4.3,44T,1Cr+,3+
36,FileBin - Pic & Video Recovery,Pangolin Tech,Tools,12 MB,3.8,1T,5L+,3+
37,"Cell Cleaner - Cache Clean, Boost and Optimize",Cell Cleaner Studio,Tools,9.7 MB,4.1,90T,1Cr+,3+
38,VPN Master Pro - Fast & Secure,VPM Master,Tools,10 MB,3.9,49T,5Cr+,3+
39,"1DM: Adblock Browser, Video & Torrent Downloader",Vicky Bonick,Tools,20 MB,4.4,2L,1Cr+,3+
40,"FileMaster: File Manage, File Transfer Power Clean",SmartVisionMobi,Tools,25 MB,4.3,7L,10Cr+,3+
41,Applock,Appyhigh Technology,Tools,13 MB,4.3,37T,50L+,3+
42,Smart Cleaner,annajiao,Tools,21 MB,4.4,76T,1Cr+,3+
43,"One Booster - Antivirus, Booster, Phone Cleaner",One Dot Moblie Limited,Tools,25 MB,4.5,17L,10Cr+,3+
44,AI Translator -Fast & Accurate,Sung-hwi Lee,Tools,22 MB,3.6,1T,10L+,3+
45,Google Find My Device,Google LLC,Tools,1.8 MB,4.3,10L,10Cr+,3+
46,Daily VPN - Super Secure VPN,Daily VPN,Tools,23 MB,3.7,30T,1Cr+,3+
47,MAX Booster,Cleaner Booster Team,Tools,25 MB,4.2,25T,10L+,3+
48,"Recover Deleted All Photos, Files And Contacts","Background Changer, Eraser & Booth Photo Editor",Tools,23 MB,3.7,54T,1Cr+,3+
49,Shield VPN - Private VPN Proxy,BaronBaron,Tools,14 MB,3,3T,50L+,3+
50,"Phone Cleaner - Cache Clean, Booster, RAM Cleaner",Games Tree,Tools,3.5 MB,4.3,79T,1Cr+,3+
51,QR Code Scanner & Scanner App,QR Code Scanner.,Tools,7.2 MB,4.6,38T,50L+,3+
52,Sweep Cleaner: cache and junk file cleaner,Polina Dev,Tools,18 MB,4.2,30T,1Cr+,3+
53,"EasyShare – Ultrafast File Transfer, Free & No Ads",Vivo Communication Technology Co. Ltd,Tools,13 MB,,,10Cr+,3+
54,DiskDigger photo recovery,"Defiant Technologies, LLC",Tools,3.7 MB,3.7,4L,10Cr+,3+
55,"Clean Master - Booster, Clean",Pace Corey,Tools,12 MB,4.2,780,5L+,3+
56,HD Video Screen Mirroring,Gg apps,Tools,8.3 MB,1.4,1T,1L+,3+
57,Moito - Lyrical Video Maker,Mast Team,Tools,57 MB,4.2,13T,10L+,3+
58,"Share Karo India: File Transfer, Share it Fast",Appyhigh Technology,Tools,25 MB,4,1L,5Cr+,3+
59,AVC: Antivirus & Virus Cleaner,MefistoDev,Tools,11 MB,4,11T,10L+,3+
60,Advanced Download Manager & Torrent downloader,AdvancedApp,Tools,6.3 MB,4.3,9L,5Cr+,3+
61,AppLock - Lock apps & Password,"SailingLab: Focus on Security, Booster, Cleaner",Tools,9.5 MB,4.4,8L,5Cr+,3+
62,Automatic Call Recorder,Appliqato,Tools,6.7 MB,3.7,24L,10Cr+,3+
63,Turbo VPN - Secure VPN Proxy,Innovative Connecting,Tools,16 MB,4.5,60L,10Cr+,3+
64,QR & Barcode Scanner,Gamma Play,Tools,5.5 MB,4.5,18L,10Cr+,3+
65,FDM - File Downloader,MediaPlay Apps,Tools,3.4 MB,3.8,3T,10L+,3+
66,Mobile Number Locator - True Caller ID Name,Jash studio,Tools,6.8 MB,3.3,4T,10L+,3+
67,Skin Tools,Radhika Yusuf Alifiansyah,Tools,16 MB,4.5,25L,1Cr+,12+
68,Calculator Lock Calculator Hide App photos Locker,App Store.,Tools,16 MB,4.4,36T,50L+,3+
69,QuickVPN,Lipisoft,Tools,2.9 MB,4,1L,1Cr+,3+
70,Safe Clean - Master of booster,sonwy owl,Tools,18 MB,3.9,2T,50L+,3+
71,"Zapya - File Transfer, Share Apps & Music Playlist","Dewmobile, Inc.",Tools,14 MB,4.4,8L,10Cr+,12+
72,Hi Translate - Chat translator,Translasion team,Tools,21 MB,4.4,1L,10Cr+,3+
73,All Video Downloader,Video Downloader And Story Art,Tools,8.5 MB,3.9,39T,1Cr+,3+
74,Flashlight,Splend Apps,Tools,4.7 MB,4.2,4L,1Cr+,3+
75,"App Lock - Lock Apps, Fingerprint & Password Lock",InShot Inc.,Tools,6.6 MB,4.6,1L,50L+,3+
76,Video Downloader - Private File Downloader,Logic Utility & Tools App,Tools,10 MB,4,10T,50L+,3+
77,Secure VPN－Safer Internet,Signal Lab,Tools,4.9 MB,4.6,9L,5Cr+,3+
78,Google Indic Keyboard,Google LLC,Tools,19 MB,4.3,6L,10Cr+,3+
79,"Mi Remote controller - for TV, STB, AC and more",Xiaomi Inc.,Tools,24 MB,3.9,5L,5Cr+,3+
80,Video Downloader Video Player,All Video Downloader Story Saver Video Player App,Tools,11 MB,4,838,1L+,3+
81,fitpro,"Shenzhen Jusheng Intelligent Technology Co., Ltd.",Tools,26 MB,4,1L,1Cr+,3+
82,Instant Save Video & Story,Instant Video Downloader,Tools,7.9 MB,4,127,1L+,3+
83,GB What's version 2021,Mobile Media Apps Store,Tools,13 MB,3.8,19T,10L+,3+
84,REAL SENSI FF,Companny Rêuse,Tools,9.9 MB,4.6,4L,10L+,3+
85,Boo - Video Status Maker,The One World Apps,Tools,36 MB,4.5,2L,1Cr+,3+
86,Number Locator & Caller Location,Mobi Softech,Tools,12 MB,4.2,65T,1Cr+,3+
87,Smart Cleaner Pro,Freemedia,Tools,24 MB,4.3,8T,10L+,3+
88,Virus Hunter 2021: Virus Scanner & Phone Cleaner,LuckyLuck Prizes,Tools,9.7 MB,3.9,2L,5Cr+,3+
89,Faster Cleaner,Bubble Shooter Team2,Tools,25 MB,4.4,4T,10L+,3+
90,Remote Control for All TV,"Background Changer, Eraser & Booth Photo Editor",Tools,18 MB,3.7,1L,5Cr+,3+
91,Google Opinion Rewards,Google LLC,Tools,11 MB,4.3,25L,5Cr+,3+
92,AppLock,Lite Tools Studio,Tools,11 MB,4.3,1L,1Cr+,3+
93,Color Call - Flash alert 2022,Charlotte Apps,Tools,26 MB,3.9,52,1L+,3+
94,iTop VPN - Fast & Unlimited,Proxy VPN 2022 & Quick Speed,Tools,17 MB,4.1,1L,50L+,3+
95,Clean Master - Phone Booster,Cheryl Cook,Tools,6.9 MB,4,1T,10L+,3+
96,Cast to TV & Screen Mirroring,DYGO Studio,Tools,11 MB,4,6T,10L+,3+
97,Mobile Number Locator - Phone Caller Locator,Mandatory Apps,Tools,3.3 MB,3.3,850,10L+,3+
98,SuperVPN Fast VPN Client,SuperSoftTech,Tools,11 MB,4.6,21L,10Cr+,3+
99,PoMelo File Explorer - File Manager & Cleaner,Android Does Team,Tools,23 MB,4.4,2L,1Cr+,3+
100,All Translator Pro,charliegreenccp,Tools,15 MB,3.8,163,1L+,3+
101,Number Location - Customized Caller Screen ID,shamsu,Tools,13 MB,3.7,24T,1Cr+,3+
