Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,"MX Player: Videos, OTT & Games",MX Media (formerly J2 Interactive),Video Players & Editors,36 MB,4.1,1Cr,100Cr+,3+
2,mAst: Music Status Video Maker,Mast Team,Video Players & Editors,65 MB,4.3,2L,5Cr+,3+
3,Mivita - Face Swap Video Maker,vakie,Video Players & Editors,64 MB,3.2,6T,10L+,3+
4,PLAYit-All in One Video Player,PLAYIT TECHNOLOGY PTE. LTD.,Video Players & Editors,14 MB,4.5,35L,10Cr+,3+
5,Mivi:Music&Lyrical Video Maker,Music Video Studio,Video Players & Editors,44 MB,4.3,1L,1Cr+,3+
6,FacePlay - Face Swap Video,INNOVATIONAL TECHNOLOGIES LIMITED,Video Players & Editors,37 MB,4.3,1L,1Cr+,3+
7,KineMaster - Video Editor,KineMaster Corporation,Video Players & Editors,66 MB,4.4,47L,10Cr+,3+
8,VN Video Editor Maker VlogNow,"Ubiquiti Labs, LLC",Video Players & Editors,125 MB,4.5,13L,5Cr+,12+
9,VITA - Video Editor & Maker,"SNOW, Inc.",Video Players & Editors,92 MB,4.3,4L,5Cr+,3+
10,Beat.ly - Music Video Maker with Effects,Beat.ly music video maker with effects. Ltd,Video Players & Editors,45 MB,4.4,10L,5Cr+,12+
11,YouTube Studio,Google LLC,Video Players & Editors,14 MB,4.4,15L,10Cr+,12+
12,VLC for Android,Videolabs,Video Players & Editors,30 MB,4.3,16L,10Cr+,3+
13,Video Downloader - Video Downloader App,Simple Design Ltd.,Video Players & Editors,9.1 MB,4.1,5L,10Cr+,12+
14,MBit Music Particle.ly Video Status Maker & Editor,MBit Music Inc.,Video Players & Editors,40 MB,4.5,3L,5Cr+,3+
15,Story Saver for Instagram,Video Downloader & Video Saver,Video Players & Editors,8.5 MB,4.6,7L,1Cr+,3+
16,Screen Recorder - XRecorder,InShot Inc.,Video Players & Editors,19 MB,4.6,47L,10Cr+,3+
17,Photo Video Maker with Music,Photo Video Maker With Music Studio,Video Players & Editors,21 MB,4.3,40T,1Cr+,3+
18,Alight Motion,"Alight Creative, Inc.",Video Players & Editors,60 MB,4.2,6L,5Cr+,3+
19,Video & Story Saver for INS,Spring Kiki,Video Players & Editors,8.6 MB,4.9,16T,10L+,3+
20,Mivo: photo MV maker,Sweet Snap Studio,Video Players & Editors,41 MB,4.3,1L,1Cr+,12+
21,Video Maker Music Video Editor,VideoShow EnjoyMobi Video Editor & Video Maker Inc,Video Players & Editors,35 MB,4.4,11L,10Cr+,3+
22,YouCut - Video Editor,InShot Inc.,Video Players & Editors,39 MB,4.6,48L,10Cr+,3+
23,YouTube,Google LLC,Video Players & Editors,37 MB,4.1,13Cr,1TCr+,12+
24,Lyrical.ly Video Status Maker,lyrical.ly,Video Players & Editors,26 MB,4.5,2L,5Cr+,3+
25,Buzo - Video Status Maker,Madrid Apps,Video Players & Editors,37 MB,4.4,23T,50L+,3+
26,Video downloader for Instagram,Make Life Simple Studio,Video Players & Editors,5.8 MB,4.5,2L,1Cr+,3+
27,All Video Downloader App,VideoBunny,Video Players & Editors,24 MB,4.1,24T,1Cr+,3+
28,"Video Downloader for Instagram, Insta Story Saver",Video Downloader - Photo Downloader - Video Player,Video Players & Editors,9.4 MB,4.2,48T,1Cr+,3+
