Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,Dress Up Royal Princess Doll,winkypinky,Beauty,42 MB,3.7,11T,1M+,3+
2,Beauty Camera : You Makeover Plus Selfie,SB Gallery Studio,Beauty,16 MB,3.5,22T,10M+,3+
3,SUGAR Cosmetics: Buy Beauty Products Online,SUGAR Cosmetics,Beauty,13 MB,4.5,42T,1M+,3+
4,Men Hair style photo Editor,kobecodder,Beauty,13 MB,3.7,2T,1M+,3+
5,"Beauty Makeup Editor: Beauty Camera, Photo Editor",Lyrebird Studio,Beauty,68 MB,3.6,2L,10M+,3+
6,"YuFace: Makeup Photo, Face App",Yu Group Global,Beauty,62 MB,4.1,1L,10M+,12+
7,South Indian Bride Wedding Salon-Dress Up & Makeup,GameCrush,Beauty,20 MB,3.9,5T,1M+,3+
8,Beauty Camera Photo Editor App,Multi Tech Apps,Beauty,17 MB,3.9,10T,1M+,12+
9,Makeup Photo Grid Beauty Salon-Fashion Style,MGS Games Studios,Beauty,24 MB,3.5,6T,1M+,3+
10,DSLR HD Camera : 4K HD Camera,Tech Jack,Beauty,8.8 MB,3.8,22T,5M+,3+
11,"Boddess: Buy Cosmetics, Makeup.Beauty Shopping App",House Of Beauty,Beauty,29 MB,3.7,647,500K+,3+
12,North Indian Royal Wedding Games,divineGames,Beauty,24 MB,3.8,3T,1M+,3+
13,Beauty Plus Camera - Face Filter & Photo Editor,Wagon Vault,Beauty,18 MB,3.7,642,100K+,3+
14,Camera For Instagram Filters,Content Arcade Apps,Beauty,17 MB,3.5,31T,5M+,3+
15,Hairy - Men Hairstyles Beard & Boys Photo Editor,Pixel Force Pvt Ltd,Beauty,37 MB,3.7,12T,10M+,3+
16,Collage Maker – Framed Picture,Advance Appsol Techonologies,Beauty,25 MB,4.5,1T,100K+,3+
17,Men Hairstyle Camera,Lolla Apps,Beauty,23 MB,3.8,1T,500K+,3+
18,Boy Hairstyle Camera,Lolla Apps,Beauty,50 MB,3.8,2T,1M+,3+
19,Video Background Changer (Green Screen Effect),MAA FOR APPS,Beauty,25 MB,3.9,5T,500K+,3+
20,Wedding Fashion doll Makeover Salon Girl Games,divineGames,Beauty,19 MB,3.8,175,100K+,3+
21,Beauty Camera Plus Photo Editor - Pretty Makeup,Million apps,Beauty,13 MB,3.9,776,100K+,3+
22,Face Enhancer - Face Cleaner,Pixels Dev Studio,Beauty,49 MB,3.7,2T,1M+,3+
23,Old face 2020 👋,KEVIN STUDIO,Beauty,9.1 MB,3.3,2T,500K+,3+
24,Hairstyle app: Hairstyles step by step for girls,PDF Reader & PDF Scanner - Snap Photo Editor,Beauty,11 MB,4.5,3T,1M+,3+
25,Face Beauty Camera Makeup,Outdoing Apps,Beauty,57 MB,3.5,3T,1M+,3+
26,Beauty Cam : Beauty Plus Camera,Beauty Face Makeup,Beauty,21 MB,3.5,13T,5M+,3+
27,Jewelry Women Jewellery Photo,Photo Editors & Games,Beauty,80 MB,3.4,1T,500K+,12+
28,Modern Stylist Fashion Indian Wedding Rituals,GameCrush,Beauty,31 MB,3.8,2T,1M+,3+
29,Glasses Photo Editor Pics,Bubble Apps Plus Studio,Beauty,5.2 MB,3.6,739,500K+,3+
30,Camera filter for snapychat AR,Pride Joy,Beauty,5.6 MB,3.6,5T,500K+,3+
31,Man Hairstyles Photo Editor,Super Diva,Beauty,42 MB,3.7,4T,1M+,3+
32,Photo Editor – Beauty Makeup,Advance Appsol Techonologies,Beauty,49 MB,4.3,1T,100K+,3+
33,Video Background Remover (Auto Remove Background),MAA FOR APPS,Beauty,26 MB,3.2,718,50K+,3+
34,Ice Queen - Dress Up & Makeup,Peachy Games,Beauty,82 MB,4.0,21T,5M+,3+
35,Macho - Man makeover app & Photo Editor for Men,Pixel Force Pvt Ltd,Beauty,12 MB,3.8,13T,5M+,3+
36,princess wedding Makeup game,Little Snail,Beauty,45 MB,4.1,1T,500K+,3+
37,Women's Online Fashion Shopping At Rupali Boutique,New World-11,Beauty,5.2 MB,3.7,354,500K+,3+
38,Beauty Plus Princess Photo,Photo Editors & Games,Beauty,59 MB,3.6,590,100K+,12+
39,Indian Western Wedding Dressup,GameCrush,Beauty,18 MB,3.8,4T,1M+,3+
40,B316 Selfie - Makeover Camera,Caller Studio Zone,Beauty,24 MB,3.5,55,10K+,3+
41,New Arabic Mehndi Design 2020,Pop-Up,Beauty,6.2 MB,3.8,774,1M+,3+
42,Makeup Camera - Cartoon Photo Editor Beauty Selfie,cRealSolutions,Beauty,58 MB,3.9,2T,500K+,3+
43,Cover Fashion - Doll Dress Up,winkypinky,Beauty,40 MB,3.8,4T,500K+,3+
44,Face Beauty Makeup Camera-Selfie Photo Editor,Daily Aims,Beauty,79 MB,4.0,21T,1M+,3+
45,Fashion Games: Makeover Games,Spartans Global INC.,Beauty,36 MB,4.0,174,100K+,3+
46,Beauty Selfie Camera - You Makeup Plus Makeover,Black Infotech,Beauty,14 MB,3.7,559,100K+,3+
47,Yes Madam - Super Safe Salon At Home & Wellness,Notion Online Solutions Pvt Ltd.,Beauty,14 MB,4.6,22T,500K+,3+
48,Beauty Makeup Camera - Selfie Beauty Photo Editor,Pixels Dev Studio,Beauty,77 MB,3.5,647,500K+,3+
49,Beauty Camera - Selfie Camera,Photo Editor & Collage Maker,Beauty,15 MB,3.8,1L,10M+,3+
50,Mehndi Design 2021 Latest: मेहंदी डिजाइन फोटो ऐप,ViralAppzStudio,Beauty,37 MB,4.1,101,50K+,3+
51,Indian Jewellery Photo Editor – Bridal photo maker,Goshiapps,Beauty,14 MB,3.7,761,500K+,3+
52,Pixl - Face Retouch & Blemish Remover Photo Editor,Selfie Photo Editor & Vintage Filters,Beauty,12 MB,4.2,71T,5M+,3+
53,Bridally - Royal Women Makeup pro photo editor app,Pixel Force Pvt Ltd,Beauty,16 MB,3.4,2T,1M+,3+
54,"Beauty Cam, Easy Photo Editor",Frame shop,Beauty,25 MB,3.7,291,100K+,3+
55,Short Dress Girl Photo Montage,Virtual Art Design,Beauty,7.8 MB,3.6,14T,5M+,3+
56,"Air Brush - Photo Editor, Filters & Effects",Magic Cut Zone,Beauty,50 MB,4.7,1T,50K+,3+
57,Beauty Mirror - Light Mirror & Makeup Mirror App,Dairy App & Notes & Audio Editor & Voice Recorder,Beauty,9.1 MB,4.7,3T,500K+,3+
58,Face Makeup Editor - Beauty Selfie Photo Camera,cRealSolutions,Beauty,62 MB,3.6,1T,100K+,3+
59,Pretty Beauty Makeup - Selfie Camera Photo Editor,AlphaLogex IT Solutions,Beauty,35 MB,3.8,256,50K+,12+
60,Girl Wedding Dress - Bridal Dress Photo Editor,Outdoing Apps,Beauty,8.3 MB,3.4,598,500K+,3+
61,Makeup Photo Editor,Hairstyle Photo Apps,Beauty,57 MB,3.6,7T,1M+,12+
62,Glasses & Sunglasses Photo Editor,Super Diva,Beauty,37 MB,3.3,709,100K+,3+
63,Perfect365 Makeup Photo Editor,"Perfect365, Inc.",Beauty,113 MB,4.0,7L,50M+,3+
