Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,BYJU'S – The Learning App,BYJU'S,Education,76 MB,4.2,17L,100M+,3+
2,Brainly — Solve Doubts,Brainly,Education,17 MB,4.3,21L,100M+,3+
3,Duolingo: Learn English Free,Duolingo,Education,21 MB,4.5,1Cr,100M+,3+
4,Unacademy Learner App,Unacademy,Education,45 MB,4.0,9L,50M+,3+
5,Teachmint - Live Classroom App,Teachmint Technologies,Education,19 MB,4.2,1L,10M+,3+
6,Hindi English Translator,Learn English In Hindi - Translator & Dictionary,Education,26 MB,4.3,53T,10M+,3+
7,Google Classroom,Google LLC,Education,13 MB,3.9,18L,100M+,3+
8,"Doubtnut: NCERT, IIT JEE, NEET",Doubtnut: Doubt Solving & Video Solutions App,Education,24 MB,4.1,5L,10M+,3+
9,"BYJU'S KG, Std.1-3 | Disney • BYJU'S Early Learn",BYJU'S,Education,87 MB,4.1,58T,10M+,3+
10,MagTapp PDF Reader & Browser,"MagTapp - India me bana, India ke liye!",Education,62 MB,4.3,82T,1M+,3+
11,EMBIBE : Learning Outcomes App,Indiavidual Learning Limited,Education,67 MB,4.2,3T,1M+,3+
12,Yellow Class - Kids Live Hobby Classes,IvyPods,Education,33 MB,4.6,24T,1M+,3+
13,Aakash App for JEE & NEET,BYJU'S,Education,77 MB,4.3,18T,5M+,3+
14,Questt - The Practice App,Reallearning Technologies Pvt Ltd,Education,22 MB,3.8,2T,500K+,3+
15,BYJU'S Exam Prep: Live Classes,Gradeup,Education,22 MB,4.4,7L,10M+,3+
16,DIKSHA - Platform for School Education,"Ministry of Education, Govt of India",Education,17 MB,4.4,3L,10M+,3+
17,Tata Studi,Tata ClassEdge,Education,19 MB,4.1,1T,500K+,3+
18,"Vedantu: LIVE Learning App | Class 1-12, JEE, NEET",Vedantu,Education,47 MB,4.1,3L,10M+,3+
19,Socratic by Google,Google LLC,Education,9.8 MB,4.5,1L,10M+,3+
20,Bible App for Kids,Life.Church,Education,49 MB,4.2,3L,50M+,3+
21,Testbook: Exam Preparation App,Testbook: Exam Prep App,Education,32 MB,4.6,3L,10M+,3+
22,Little Singham : Kids Early Learning App | Games,Creative Galileo,Education,80 MB,3.9,3T,1M+,3+
23,Plantix - your crop doctor,Plantix,Education,13 MB,4.3,67T,10M+,3+
24,"Voot Kids-Cartoons, Books, Quizzes, Puzzles & more",Viacom18 Digital Media,Education,27 MB,3.6,40T,10M+,3+
25,Noon Academy - Student App,Noon Academy,Education,29 MB,4.2,94T,10M+,3+
26,Cake: Lesson updates every day,Cake Corp.,Education,14 MB,4.6,9L,50M+,3+
27,SnapSolve: Doubt Solving App,SnapSolve,Education,15 MB,4.6,58T,1M+,3+
28,Extramarks – The Learning App,Extramarks Education,Education,16 MB,3.8,1L,10M+,3+
29,Physics Wallah,Alakh Pandey,Education,23 MB,4.8,3L,1M+,3+
30,Kutuki Preschool Learning App,Kutuki,Education,18 MB,4.3,4T,1M+,3+
31,ELSA Speak: English Learning App,ELSA Speak,Education,29 MB,4.4,4L,10M+,3+
32,"Exam Preparation : Live Class, Videos, Mock Tests",Adda247,Education,15 MB,4.7,3L,10M+,3+
33,Swayam,SWAYAM IITM,Education,12 MB,4.2,41T,1M+,3+
34,Udemy - Online video courses & classes,Udemy,Education,13 MB,4.3,3L,10M+,3+
35,"Homework Help App | Scan Question, Get Answer",Toppr,Education,19 MB,4.3,39T,1M+,3+
36,SAARTHI,SEBI SCORES,Education,11 MB,4.5,137,50K+,3+
37,ReSkills,ReSkills EdTech,Education,67 MB,3.8,251,100K+,3+
38,Utkarsh : Smart Learning App,Utkarsh Classes,Education,12 MB,4.2,2L,5M+,3+
39,English Master - English Speaking App,krigonan,Education,42 MB,4.7,3T,500K+,3+
40,Entri: Learning App for Jobs,Entri,Education,22 MB,4.7,62T,5M+,3+
41,PrepLadder Learning App,PrepLadder,Education,23 MB,3.9,2T,100K+,3+
42,Harappa Learning App,Harappa Education,Education,19 MB,4.3,50,50K+,3+
43,Kids Matching Game,HeGoDev,Education,2.9 MB,4.0,4T,5M+,3+
44,"English Hindi Dictionary, Image - Voice Translator",Raflexen App Studio,Education,12 MB,4.1,1T,500K+,3+
45,Ncert Books & Solutions,SUPERCOP,Education,5.9 MB,4.4,1L,5M+,3+
46,KHAN SIR OFFICIAL,Khan GS,Education,18 MB,4.6,72T,1M+,3+
47,upGrad - Online Learning Courses,upGrad,Education,35 MB,4.3,16T,1M+,3+
48,ReadToMe Student Edition,English Helper Education Technologies Pvt Ltd,Education,7.1 MB,4.2,2T,500K+,3+
49,"Filo: IIT JEE, NEET, NCERT App",Filo Edtech Inc,Education,26 MB,4.5,60T,1M+,3+
50,Hi Dictionary-Translate Now,Fun and Hi Tool,Education,21 MB,4.4,1L,10M+,3+
51,Hindi-English Translator,Klays-Development,Education,3.1 MB,4.5,66T,5M+,3+
52,BSEB Information App,BSEB,Education,8.4 MB,3.8,1T,100K+,3+
53,Study IQ,Study IQ Education,Education,17 MB,3.9,26T,1M+,3+
54,Amazon Academy - JEE and NEET Preparation,Amazon Mobile LLC,Education,27 MB,3.8,3T,5M+,3+
55,"Sarthaks eConnect - App for JEE, NEET, Class 7-12",Sarthaks.com,Education,17 MB,4.0,916,100K+,3+
56,Read Along (Bolo): Learn to Read with Google,Google LLC,Education,45 MB,4.2,29T,5M+,3+
57,"Doubts: JEE, NEET & NCERT",InfinityLearn,Education,9.2 MB,3.6,550,100K+,3+
58,Wise - Online Teaching app,Wise Leap Technologies,Education,68 MB,4.1,37T,1M+,3+
59,Careerwill App,Careerwill,Education,17 MB,4.3,1L,1M+,3+
60,Nail Salon Fashion Makeup Game,Happy Giggles,Education,54 MB,4.4,3T,1M+,3+
61,Bada Business Community,Bada Business Pvt. Ltd.,Education,23 MB,4.2,55T,1M+,3+
62,Krantikari English App,Dharmendra Kumar Sir,Education,19 MB,4.5,5T,1M+,3+
63,CuriousJr - Coding for Kids,CuriousJr - Coding for Kids,Education,6.1 MB,4.7,5T,500K+,3+
64,IELTS Prep by LeapScholar,Leap Scholar,Education,24 MB,4.5,16T,1M+,3+
65,i-Dictionary: Dictionary & Translator,AUS Apps Studios,Education,16 MB,4.1,2T,1M+,3+
66,T-SAT,T-SAT,Education,18 MB,4.1,10T,1M+,3+
67,Homework App - MCQs for CBSE,the homework app,Education,22 MB,4.3,5T,500K+,3+
68,WhiteHat Jr: Book Live Classes,WhiteHatJr,Education,29 MB,4.4,1L,5M+,3+
69,Toppr - Learning App for Class 5 - 12,Toppr,Education,27 MB,4.3,1L,10M+,3+
