Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,Amazon Prime Video,Amazon Mobile LLC,Entertainment,28 MB,4.3,3M,100M+,12+
2,"ZEE5:Movies, Web Series & more",Z5X Global FZ LLC,Entertainment,21 MB,3.5,12L,100M+,12+
3,Hotstar,Novi Digital,Entertainment,23 MB,4.2,10M,500M+,12+
4,Zili - Short Video App for India | Funny,Zili,Entertainment,25 MB,4.0,8L,100M+,12+
5,JioTV,Jio Platforms Limited,Entertainment,16 MB,4.0,35L,100M+,3+
6,HD Video Projector Simulator,Ultra HD Video Player,Entertainment,12 MB,2.9,21T,5M+,3+
7,Google Play Games,Google LLC,Entertainment,10 MB,4.3,12M,1B+,12+
8,SonyLIV:Entertainment & Sports,Sony Pictures Networks India Pvt. Ltd,Entertainment,28 MB,4.1,16L,100M+,12+
9,Netflix,"Netflix, Inc.",Entertainment,19 MB,4.2,1Cr,1B+,12+
10,BoloJi Pro,Slight Team,Entertainment,26 MB,3.4,2T,1M+,18+
11,"Voot, Bigg Boss S15, Colors TV",Viacom18 Digital Media,Entertainment,22 MB,3.4,25L,100M+,12+
12,YouTube Kids,Google LLC,Entertainment,32 MB,4.0,18L,100M+,3+
13,HD Video Screen Mirroring,Admire Lite,Entertainment,9.2 MB,2.2,1T,500K+,3+
14,HD Video Projector Simulator,Digitech Tool Apps,Entertainment,13 MB,2.8,1L,10M+,3+
15,HD Video Screen Cast,The 26 Blinders,Entertainment,13 MB,3.7,12T,500K+,3+
16,Reface: Face swap videos/memes,"NEOCORTEXT, INC.",Entertainment,21 MB,4.3,16L,100M+,16+
17,MX Player Online: OTT & Games,MX Media (formerly J2 Interactive),Entertainment,26 MB,4.1,75T,10M+,3+
18,Yalla - Group Voice Chat Rooms,Yalla Technology FZ-LLC,Entertainment,65 MB,4.1,1L,50M+,12+
19,Sexy Indian Girls Video Chat - Random Video Online,KAPIL KUMAR,Entertainment,38 MB,4.0,65T,10M+,16+
20,Skymize Skins,Aman Patidar,Entertainment,5.8 MB,3.2,1T,100K+,3+
21,HD Video Screen Mirroring,221A Random Street,Entertainment,8.7 MB,2.0,568,500K+,3+
22,BroChill-Lyrical Video Maker with songs,Brochill Internet Private Limited,Entertainment,31 MB,4.3,87T,10M+,12+
23,Pika Show Live TV Movies Tips,Gill yy dev,Entertainment,5.9 MB,3.4,550,100K+,3+
24,Famous Skins,Aman Patidar,Entertainment,5.6 MB,3.7,4T,1M+,3+
25,discovery+,Discovery Communication India,Entertainment,13 MB,4.3,1L,10M+,16+
26,True Love Shayari - Love Pyar Ishq All हिंदी शायरी,OGGY APPS,Entertainment,7.7 MB,4.6,2T,500K+,3+
27,Roz Dhan: Earn Wallet cash,Roz Dhan official,Entertainment,21 MB,3.9,2L,10M+,3+
28,Loco : Live Game Streaming,Stoughton Street Tech Labs Private Limited,Entertainment,57 MB,4.4,2L,10M+,12+
29,HD Video Screen Mirroring,Lazy CoderZ,Entertainment,12 MB,3.6,4T,1M+,3+
30,JioCinema: Movies TV Originals,Reliance Projects & Property Mgmt Services Ltd,Entertainment,12 MB,3.8,8L,50M+,12+
31,Ullu,ULLU Digital Pvt Ltd,Entertainment,20 MB,3.9,1L,10M+,12+
32,"Shining wallpaper,4K HD",wenfei,Entertainment,19 MB,2.7,270,500K+,12+
33,Tata Sky Binge,Tata Sky Ltd,Entertainment,21 MB,3.4,6T,1M+,12+
34,"MemeChat: Meme, Keyboard, News",Meme Chat Pvt. Ltd.,Entertainment,36 MB,4.8,38T,1M+,12+
35,Airtel Xstream: Movies & Shows,Airtel,Entertainment,21 MB,3.4,1M,100M+,12+
36,"Livmet - Video Call, Chatting",Livmet,Entertainment,26 MB,3.6,263,100K+,18+
37,BOOYAH!,Garena International I,Entertainment,16 MB,4.3,20L,50M+,12+
38,Tata Sky – Live TV & Recharge,Tata Sky Ltd,Entertainment,32 MB,4.0,5L,50M+,3+
39,aha - 100% Telugu Web Series and Movies,Arha Media & Broadcasting Private Limited,Entertainment,34 MB,4.3,5L,10M+,12+
40,Indian Wedding: DressUp Makeup,GameiAvo,Entertainment,50 MB,3.9,2T,1M+,12+
41,EarnEasy : Earn Cash in 24 hrs,Brandmatic Technologies Private Limited,Entertainment,9.8 MB,4.2,4T,500K+,3+
42,Lyrical Photo Status,The Wow Apps,Entertainment,55 MB,4.4,57T,10M+,3+
43,"Wafa-Ludo, Voice Chat Room",LVE Innovations,Entertainment,47 MB,3.8,6T,1M+,12+
44,"HOKYO - Watch Hindi Web-Series, Short Films",Two Villagers Films & Digital Media Pvt Ltd,Entertainment,4.0 MB,4.2,1T,500K+,16+
45,Sun NXT,Sun TV Network  Limited,Entertainment,19 MB,4.4,2L,10M+,12+
46,"Hair Clipper Prank, Fart Sound",duff hl studio,Entertainment,39 MB,3.9,32T,10M+,3+
47,Talking Tom Cat 2,Outfit7 Limited,Entertainment,55 MB,4.1,33L,100M+,7+
48,Grand Theft Auto V: The Manual,Rockstar Games,Entertainment,101 MB,4.1,3L,10M+,12+
49,Bitmoji,Bitmoji,Entertainment,35 MB,4.3,35L,100M+,12+
50,Haku,Au Chai,Entertainment,21 MB,4.4,30T,1M+,18+
51,"Turnip:Livestream, Watch Party",Turnip Media,Entertainment,41 MB,4.3,27T,5M+,3+
52,MACRO MSI - SENSIBILIDAD PRO,Yeudi Developer,Entertainment,229 kB,4.2,11T,1M+,3+
53,Flipped– Online Video Calling,MMTEAM,Entertainment,21 MB,3.8,32,50K+,18+
54,"BookMyShow - Movies & Event Tickets, Stream Online",Bigtree Entertainment Pvt. Ltd.,Entertainment,20 MB,4.1,12L,50M+,12+
55,"YoYo - Voice Chat Room, Ludo",YoYo Team,Entertainment,76 MB,4.1,90T,10M+,12+
56,"FFF FF Skin Tool, Elite Pass Bundles, Emote, Skin",SAS Infotech,Entertainment,10 MB,4.0,2T,500K+,3+
57,"Lovely Call Screen-Theme Changer,Color Phone",Hi Photo Album App,Entertainment,34 MB,3.7,2T,1M+,12+
58,Scan body photo filter,SmartJoys,Entertainment,5.8 MB,3.5,79T,10M+,16+
59,Spin King,STARTx,Entertainment,19 MB,3.9,164,10K+,3+
60,Indian wedding love with arrange marriage games,Game2play,Entertainment,47 MB,3.9,12T,5M+,3+
61,Idragon -Ultimate VOD Movies/Series APP in India.,Idragon,Entertainment,44 MB,3.6,21T,5M+,3+
62,"ZEPETO: 3D avatar, chat & meet",Naver Z Corporation,Entertainment,101 MB,4.2,14L,100M+,3+
63,Poly - Funny Social Chat,Hello Poly,Entertainment,26 MB,4.2,21T,1M+,18+
64,"Vi Movies & TV: News, Movies, Live TV, Shows Free",Vodafone Idea Limited.,Entertainment,34 MB,3.9,2L,10M+,12+
65,Tips For Grand City theft Autos GT Guide A 2021,Suhail Al Rahman,Entertainment,7.5 MB,4.0,1T,500K+,3+
66,VotTak,Om Newgen Technologies,Entertainment,54 MB,3.8,90T,10M+,16+
67,Viki: Asian Dramas & Movies,"Viki, Inc",Entertainment,10 MB,4.2,8L,10M+,12+
