Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,Invitation maker & Card design,Greetings Island,Events,26 MB,4.6,89T,10M+,3+
2,Tournafest,Tournafest Gaming Private Limited,Events,21 MB,4.2,573,50K+,3+
3,Video Invitation Maker App,VideoInvites.net,Events,4.6 MB,3.8,1T,500K+,3+
4,Wedding Card Maker Indian,Hope & Courage Company,Events,7.5 MB,4.6,1T,100K+,3+
5,Kiko Live,Kiko Live,Events,58 MB,4.1,1T,100K+,3+
6,Shaadi & Engagement Card Maker by Wednicely,Invitation Panda - Online Greetings & Invitations,Events,10 MB,4.0,9T,1M+,3+
7,Superheroes Mod for Minecraft PE - MCPE,Master Mod Minecraft,Events,35 MB,4.4,16T,1M+,3+
8,Maps for Minecraft PE skyblock,AndiQwer,Events,25 MB,4.2,3T,1M+,12+
9,Republic Day India,National Informatics Centre.,Events,17 MB,4.5,24,5K+,3+
10,game.tv,game-tv,Events,72 MB,4.0,64T,1M+,12+
11,Republic Day Parade 2021,National Informatics Centre.,Events,28 MB,4.8,103,10K+,3+
12,Events Invitation Card Maker,Smart Gorilla,Events,26 MB,3.6,81,10K+,3+
13,Video Invitation Maker : Create Video Cards,JVR Developers,Events,34 MB,2.5,548,100K+,12+
14,Easy Quran Mp3 Audio Offline Complete with Qibla,Muslim Worldapp,Events,19 MB,4.7,29T,1M+,3+
15,"Evergreen Club - Health, Fitness, Fun & Learning",Seniority AppSupport,Events,43 MB,4.5,2T,100K+,3+
16,MATA VAISHNODEVI APP,Shri Mata Vaishno Devi Shrine Board,Events,10 MB,4.3,760,100K+,3+
17,Game Promotion Alert - Notify,TheGolem,Events,6.0 MB,3.5,7T,1M+,3+
18,E-shram Card Registration,Problem Solving App,Events,10 MB,4.3,48,10K+,12+
19,Weddie - Free Digital Wedding Invitation Website,VideoInvites.net,Events,4.1 MB,3.6,719,100K+,3+
20,Digital Invitation Card Maker,Julian Connector,Events,14 MB,3.7,58,50K+,3+
21,Party Invitation Cards Maker,Detente Apps Studio,Events,16 MB,3.8,342,100K+,3+
22,Custom room,ROY SD,Events,9.6 MB,4.1,7T,500K+,3+
23,Survival maps for Minecraft PE,AndiQwer,Events,28 MB,4.3,11T,1M+,12+
24,Shri Aniruddhacharya Ji Official,Xpert Webtech Pvt. Ltd.,Events,41 MB,4.3,1T,100K+,12+
25,"PC Games Radar for Epic Games, Steam, Origin, GoG",Yuber Apps,Events,5.1 MB,3.7,2T,500K+,12+
26,High Tournaments,High Tournaments,Events,13 MB,3.7,131,10K+,12+
27,VKC PARIVAR,Global Innovative Technologies (GIT),Events,20 MB,4.1,333,10K+,3+
28,Custom Room,pixel code,Events,24 MB,3.6,843,100K+,3+
29,GPDP Facilitator Report,Ministry of Panchayati Raj,Events,4.1 MB,3.8,1T,100K+,3+
30,January 26th Republic Day,Video Photo Club,Events,12 MB,3.6,6,500+,3+
31,Event Needz,Event Needz,Events,16 MB,4.7,172,1K+,3+
32,Music Ringtones for Tik Tok,abesato,Events,42 MB,3.5,7T,1M+,3+
33,Happy Birthday Song,APR Developers,Events,17 MB,3.6,366,100K+,3+
34,All Document Reader Offline,iVoice Translate,Events,13 MB,4.6,87,5K+,3+
35,UNATION - Discover Events,"UNATION, INC.",Events,31 MB,4.0,166,100K+,3+
36,Invitation Card Maker - Digital eCards (RSVP),Heartbeat Apps,Events,47 MB,2.4,45,10K+,3+
37,BackPack Mod for Minecraft PE - MCPE,Master Mod Minecraft,Events,5.4 MB,4.4,36T,1M+,3+
38,Video Invitation Card Maker,Funloft,Events,34 MB,,,100K+,3+
39,Techfest,Techfest IIT Bombay,Events,16 MB,4.9,90,500+,3+
40,E-Shram Card Registration,Mukeshapps,Events,7.2 MB,4.3,54,10K+,3+
41,WhatsClone Multiple Accounts Whatscan for Whatsweb,Dev Desk Logix,Events,9.1 MB,,,100K+,12+
42,Saksham,NRLM-MoRD,Events,6.4 MB,4.2,45,10K+,3+
43,GB WMassap Update -Latest Version Plus 2022,Toole Inc,Events,23 MB,4.0,3T,50K+,18+
44,WASD Esports,WASD ESPORTS,Events,12 MB,4.1,1T,50K+,3+
45,WRadar Online Tracker WhatsApp,logic Developer,Events,8.6 MB,4.0,4T,100K+,3+
46,Video Invitation Maker by Inviter.com,Inviter Inc,Events,6.7 MB,3.3,3T,500K+,3+
47,BOMA App,"a2z, Inc.",Events,7.7 MB,,,1K+,3+
48,Engagement Card With Photo,Wang wei devlopers,Events,24 MB,2.4,124,10K+,3+
49,"Freebie PC Game on Steam, Epic",İzzet Emre Demir,Events,10 MB,3.9,796,100K+,3+
50,Niskara Samayam,mifthi,Events,11 MB,4.6,1T,100K+,3+
51,UC Lottery,Nova Soft,Events,9.6 MB,3.8,270,10K+,12+
52,Republic Day Greetings Telugu Messages,Janatha Apps,Events,1.9 MB,,,1K+,3+
53,MHF Global,MUJTABA  FOUNDATION,Events,11 MB,4.9,100,1K+,3+
54,xXNXx Browser Private Proxy,Wingner Company,Events,8.1 MB,3.3,328,50K+,3+
55,Wedding Invitation Card Maker,JSG Developers,Events,21 MB,4.5,81,10K+,3+
56,Invitation Maker - Bulaava,Spanshots Games,Events,14 MB,4.4,10T,100K+,3+
57,Invitation maker 2021 Birthday & Wedding card Free,Splendid App Maker,Events,13 MB,4.6,28T,1M+,3+
58,Multiple Account Dual Space- Whatscan for Whatsweb,Developer Logic,Events,8.8 MB,,,500K+,12+
59,Stylish Invitation Card Maker,Game Axe,Events,33 MB,3.0,595,100K+,3+
60,Kuber Matka | Online Matka,Kuber Matka Group,Events,8.9 MB,4.7,63,1K+,3+
61,WedHaven,WedHaven,Events,12 MB,4.5,78,10K+,3+
62,Class 4 Hindi रिमझिम Solution,Mr Dheeraj,Events,17 MB,4.0,8,5K+,3+
63,Republic Day Stickers for Whatsapp 2019,Solace Labs,Events,4.5 MB,,,1K+,3+
64,Save the Date,Oscarito,Events,34 MB,2.3,127,50K+,3+
65,Greeting card maker,ColorTime & PuzzleTime,Events,36 MB,4.5,3T,100K+,3+
66,CRPF eDiary,CRPF IT Wing,Events,4.7 MB,4.0,163,10K+,3+
67,Mood Indigo,Mood Indigo,Events,30 MB,4.9,28,1K+,3+
68,Paytm Insider: Events Near You,Wasteland Entertainment Pvt. Ltd.,Events,31 MB,4.6,4T,500K+,3+
69,Pragati Tv,Pragati Point,Events,22 MB,4.4,331,100K+,3+
70,"i2i Live  : Live Darshan, Events & Devotional",Forerunners Softtech Pvt. Ltd,Events,12 MB,4.6,1T,100K+,12+
71,Survival Maps,Visnevscaia Oxana,Events,6.0 MB,2.5,3T,1M+,3+
72,Siti Shera Pujo,Siti Cable,Events,6.0 MB,2.8,111,10K+,3+
73,Battle Zone E-Sports,Digital Ocean Production,Events,14 MB,3.4,308,10K+,3+
74,Muslim Wedding Card Maker,Hope & Courage Company,Events,5.9 MB,4.3,36,5K+,3+
75,Marriage Biodata Maker,Innovative Soft's,Events,2.5 MB,2.9,105,50K+,12+
76,Rm Matka - Online Matka Official App,Official Guru RMX,Events,6.3 MB,3.3,14,1K+,3+
77,JharGov TV,Jhargov TV,Events,6.5 MB,4.1,44,5K+,3+
78,Freedom day |स्वतंत्रता दिवस के लिए नया फोटो फ्रेम,Shihan developer studio,Events,5.6 MB,4.0,28,1K+,3+
79,Blackpink Call Me - Call With Blackpink Idol Prank,KID Media Networks Inc.,Events,15 MB,4.2,16T,1M+,12+
80,CRS-Orgi,"Office of The Registrar General, India",Events,2.4 MB,1.4,210,10K+,3+
81,Tara Mumbai Matka Play Result,TaraMumbai,Events,4.7 MB,4.8,56,1K+,3+
82,Live Cricket Tv  Mathes,Ktech Score Ltd,Events,8.7 MB,3.8,33,1K+,3+
83,IPR CALENDAR & DIARY,Yokmo Interactive,Events,96 MB,,,100+,3+
84,Live Cricket,Kingfisherdevs,Events,7.9 MB,3.3,6T,500K+,3+
85,Teer Counter (Official),SUFI DEVELOPER,Events,5.6 MB,3.9,467,50K+,3+
86,Hide and Seek maps for Minecraft,Drabdor,Events,6.4 MB,4.3,656,100K+,3+
87,Kolkata FF Result App,Mobtronix Technologies,Events,4.1 MB,4.0,89,10K+,3+
88,eSports Rooms,WebOcta Lab,Events,7.7 MB,3.8,148,10K+,12+
89,Diamond top up,Diamond topup,Events,7.2 MB,4.3,27,1K+,3+
90,Satta-King Results,Sky Gaming (India),Events,32 MB,4.4,109,10K+,3+
91,Independence Day photo Maker,Dhurandhar apps,Events,15 MB,4.2,45,10K+,3+
92,Reward Earning By Simple Tasks,yeolandonqvxji,Events,14 MB,4.1,577,50K+,3+
93,AXONWEB,DOT2DOT InfoSoft Technologies Pvt. Ltd.,Events,8.9 MB,4.0,109,10K+,3+
94,Surprising Gift Service,artrayd,Events,239 kB,5.0,76,10K+,3+
95,Bangla Rashifal 2022,Mobtronix Technologies,Events,8.7 MB,4.1,55,10K+,3+
96,Zaidi MyTraining,Zaidi Corporation,Events,87 MB,4.2,257,10K+,3+
97,CBN ARMY,TabCaps Softtech PVT Limited,Events,25 MB,4.7,6T,100K+,3+
98,Famous TikTok™ Ringtones Music,Famous Ringtones For Android,Events,34 MB,3.7,1T,100K+,3+
99,GET UC BGMI,International event pvt.LTD,Events,7.7 MB,4.1,8,1K+,3+
100,Happy Birthday Gift,NewChik,Events,3.2 MB,3.9,155,50K+,12+
101,New Year Video Maker 2022,T3VM Studio,Events,8.0 MB,,,10K+,3+
102,Birthday Reminder: Bday Calendar with Countdown,Teo Coding,Events,18 MB,4.2,3T,100K+,3+
103,Shri Kashi Vishwanath Temple Trust,3i Consulting private Limited,Events,4.8 MB,4.2,476,50K+,3+
104,Hindi Happy Birthday Songs | Birthday Mp3 Songs,APR Developers,Events,17 MB,3.6,24,10K+,3+
105,India Independence Day Video Maker With Music,T3VM Studio,Events,6.4 MB,3.1,17,10K+,3+
106,"Event Planner - Guests, To-do, Budget Management",Visionary Labs,Events,5.7 MB,4.5,577,50K+,3+
107,Disco Light: Flashlight with Strobe Light & Music,Chic Apps,Events,2.8 MB,4.3,4T,1M+,3+
108,Unlimited Sports Stream - Cricket & Football,MubinMubin,Events,9.3 MB,,,1K+,3+
109,CoinDesk Events,CoinDesk,Events,50 MB,3.2,99,10K+,3+
110,Happy Birthday Card Maker,Parval Infotech,Events,10 MB,,,5K+,3+
111,"Wedding Planner: Checklist, Budget, Countdown",Wedding Planner App,Events,15 MB,3.9,10T,500K+,3+
112,Save The Dates,ALAN,Events,4.1 MB,2.6,22,10K+,12+
113,Police Lights,Shiny Lights,Events,2.5 MB,4.3,2T,500K+,3+
114,Aviva Live,Aviva PLC,Events,63 MB,3.2,8,1K+,3+
115,Tamil Happy Birthday Mp3 Songs,APR Developers,Events,18 MB,3.5,110,50K+,3+
116,Besnu,ezaaro,Events,4.5 MB,3.2,111,50K+,3+
117,Church Calendar 2022,MobileExpert,Events,3.6 MB,,,50K+,3+
118,JioSignage,Jio Platforms Limited,Events,4.2 MB,4.3,30,5K+,3+
119,Cam to You,Team 3MB,Events,8.9 MB,4.6,25,1K+,3+
120,Enkalyanam,Enkalyanam,Events,4.6 MB,4.2,10,500+,18+
121,Royal Games,Royal IT Team,Events,4.5 MB,4.9,72,1K+,3+
122,E-Pollution,Global Sourcing,Events,28 MB,5.0,8,1K+,3+
123,Guide Diamonds 2022,Univ. App,Events,5.3 MB,,,500+,3+
124,Puja Purohit,Farm India,Events,16 MB,4.6,111,5K+,3+
125,Plug In,GridTech,Events,3.5 MB,2.8,189,100K+,3+
126,Bank Holidays 2022 (India),Masterminds,Events,752 kB,3.8,44,10K+,3+
127,Indian Elections Schedule and Result Details,Little Play Studio,Events,12 MB,4.1,116,50K+,3+
128,Santsang,Antriksh,Events,27 MB,4.4,383,10K+,12+
129,Job vacancy,Shiv & company,Events,8.1 MB,,,1K+,12+
130,Digital Expodent India,EVIRTUALEXPO,Events,97 MB,3.8,18,1K+,3+
131,All Events in City - Discover Events On The GO,Amitech Business Solutions,Events,6.3 MB,4.3,5T,500K+,3+
