Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,"PhonePe: UPI, Recharge, Investment, Insurance",PhonePe,Finance,35 MB,4.3,78L,100M+,3+
2,"Paytm -UPI, Money Transfer, Recharge, Bill Payment",Paytm - One97 Communications Ltd.,Finance,31 MB,4.6,1Cr,100M+,3+
3,Google Pay: Secure UPI payment,Google LLC,Finance,20 MB,4.2,71L,500M+,3+
4,CoinDCX:Bitcoin Investment App,CoinDCX Official,Finance,22 MB,3.6,2L,10M+,3+
5,Navi: Loans & Health Insurance,navi.com,Finance,24 MB,3.9,1L,10M+,3+
6,YONO SBI: Banking & Lifestyle,State Bank of India,Finance,37 MB,3.6,9L,50M+,3+
7,CoinSwitch: Bitcoin & Crypto,CoinSwitch,Finance,26 MB,4.2,3L,10M+,3+
8,"Bajaj Finserv-Loan,UPI,Payment",Bajaj Finance Limited,Finance,17 MB,3.9,3L,10M+,3+
9,"Groww - Stocks, Demat, Mutual Fund, SIP","Groww - Stock Trading, Demat, Mutual Funds, SIP",Finance,32 MB,4.1,5L,10M+,3+
10,slice: Credit Card Challenger,slice super card,Finance,38 MB,4.4,1L,5M+,3+
11,Fi Money - Smarter Banking,epiFi Technologies Private Limited,Finance,31 MB,4.5,15T,1M+,3+
12,KreditBee: Instant Loan App,Finnovation Tech Solutions Pvt Ltd,Finance,15 MB,4.4,6L,10M+,3+
13,Jar: Daily Savings in Digital Gold,Jar App,Finance,16 MB,4.5,32T,1M+,3+
14,bob World,Bank of Baroda,Finance,84 MB,4.1,7L,10M+,3+
15,Binomo,Binomo mobile,Finance,9.9 MB,4.4,2L,10M+,3+
16,Share Market & Demat - Angel One by Angel Broking,"Angel One - Share market, Demat account & IPO",Finance,40 MB,4.2,3L,10M+,3+
17,BFL Lite,Bajaj Finance Limited,Finance,8.0 MB,4.2,8T,10M+,3+
18,Kotak - 811 & Mobile Banking,Kotak Mahindra Bank Ltd.,Finance,18 MB,4.4,9L,10M+,3+
19,"ZestMoney - Buy now, pay later",ZestMoney (Camden Town Technologies Pvt Ltd),Finance,12 MB,4.2,60T,5M+,3+
20,TrueBalance - Quick Online Personal Loan App,True Balance - Balance Hero,Finance,28 MB,4.3,7L,10M+,3+
21,"Siply: Mutual Fund, Buy Gold","Save as low as Rupee 1 - Gold, Mutual Funds & Chit",Finance,40 MB,4.0,7T,1M+,3+
22,Paytm for Business: Accept Payments for Merchants,Paytm - One97 Communications Ltd.,Finance,35 MB,4.4,3L,10M+,3+
23,IPPB Mobile Banking,India Post Payments Bank Ltd,Finance,14 MB,4.0,1L,10M+,3+
24,Money View: Personal Loan App,Money View: Loan App & Money Manager,Finance,19 MB,4.5,4L,10M+,3+
25,OneScore: Credit Score Insight,FPL Technologies,Finance,21 MB,4.6,1L,5M+,3+
26,Uni Cards: The Pay 1/3rd Card,Uni Cards,Finance,15 MB,4.2,30T,1M+,3+
27,IndianMoney's Financial Freedom App,Suvision Holdings Private Limited,Finance,15 MB,4.4,33T,5M+,3+
28,Yono Lite SBI - Mobile Banking,State Bank of India,Finance,34 MB,4.2,25L,50M+,3+
29,Bharat Option - Trading online,Nishant Kohli,Finance,10 MB,4.2,2T,500K+,3+
30,Google Pay for Business,Google LLC,Finance,21 MB,4.3,1L,10M+,3+
31,"MobiKwik- UPI, Bills, PayLater",One MobiKwik Systems Limited,Finance,21 MB,3.9,16L,50M+,3+
32,HDFC Bank MobileBanking App,HDFC Bank,Finance,45 MB,4.4,8L,10M+,3+
33,iMobile Pay by ICICI Bank,ICICI Bank Ltd.,Finance,131 MB,4.4,30L,10M+,3+
34,Mobile Loan - Online Loan App,WHITE APPLE,Finance,3.8 MB,3.6,1T,500K+,3+
35,U-Mobile - Union Bank of India,Union Bank of India,Finance,28 MB,4.1,5L,10M+,3+
36,UniTrend - Mobile Trade App,Unitrend,Finance,7.5 MB,4.4,8T,1M+,3+
37,"Upstox Old - Stocks, MF & IPOs",Upstox,Finance,11 MB,4.5,4L,10M+,3+
38,Kite by Zerodha,Zerodha,Finance,10 MB,4.3,2L,10M+,3+
39,"Mi Credit - Instant Personal Loan, Cash Online",Xiaomi Inc.,Finance,21 MB,3.7,66T,5M+,3+
40,"WazirX - Bitcoin, Crypto Trading Exchange India",Zanmai Labs Private Limited,Finance,9.5 MB,4.2,5L,10M+,3+
41,Olymp Trade -  App For Trading,OlympTrade,Finance,20 MB,3.9,8L,50M+,3+
42,NiyoX - Digital Saving Account,Finnew Solutions Pvt. Ltd.,Finance,30 MB,4.5,30T,1M+,3+
43,Kissht: Instant Line of Credit,Kissht,Finance,51 MB,4.4,6L,10M+,3+
44,mPokket: Personal Loan & Instant Student Loan App,mPokket,Finance,19 MB,4.2,4L,10M+,3+
45,India AI Credit Cash loan app,India AI Technology PVT LTD,Finance,4.0 MB,4.7,77T,1M+,3+
46,OctaFX Trading App,OctaFX,Finance,29 MB,4.0,1L,10M+,3+
47,BHIM - MAKING INDIA CASHLESS,National Payments Corporation of India (NPCI),Finance,26 MB,4.1,8L,50M+,3+
48,1 Minute Me Aadhar Loan - आधार कार्ड पे लोन गाइड,Cloudy Soft,Finance,13 MB,4.9,1T,1M+,3+
49,Kotak811– Instant Saving A/c,Kotak Mahindra Bank Ltd.,Finance,1.0 MB,4.3,1T,1M+,3+
50,BharatPe for Merchants,BharatPe,Finance,12 MB,4.1,2L,10M+,3+
51,CRED: Credit Card Bills & More,CRED - most rewarding credit card bill payment app,Finance,32 MB,4.7,7L,10M+,3+
