Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,Zomato: Food Delivery & Dining,Zomato,Food & Drink,21 MB,4.1,60L,100M+,3+
2,Swiggy : Food Delivery & More,Swiggy,Food & Drink,33 MB,4.0,2M,100M+,3+
3,Domino's Pizza - Online Food Delivery App,Jubilant Foodworks,Food & Drink,11 MB,4.6,741K,10M+,3+
4,blinkit (formerly grofers),Grofers India Pvt Ltd,Food & Drink,20 MB,4.1,6L,10M+,3+
5,"Country Delight: Milk Delivery, Vegetable, Grocery",Country Delight,Food & Drink,17 MB,4.7,34T,5M+,12+
6,KFC Online Order and Food Delivery,Yum Brands Inc - India Division,Food & Drink,44 MB,3.6,57T,10M+,3+
7,EatSure - Online Food Delivery,Rebel Marketplace Private Limited,Food & Drink,20 MB,4.5,1L,5M+,3+
8,McDelivery- McDonald’s India: Food Delivery App,McDonald's India – West & South,Food & Drink,28 MB,4.3,98K,5M+,3+
9,Burger King India,BURGER KING INDIA LIMITED,Food & Drink,21 MB,3.5,7K,1M+,3+
10,Pizza Hut – Pizza Delivery – Order Food,Pizza Hut Digital Ventures,Food & Drink,32 MB,4.4,76T,1M+,3+
11,McDonald's,McDonald's Apps,Food & Drink,42 MB,3.8,4L,50M+,3+
12,Mojo Pizza: Order Food Online,PHPL,Food & Drink,27 MB,4.5,70T,1M+,3+
13,Swiggy Delivery Partner App,Swiggy,Food & Drink,33 MB,4.2,1L,1M+,3+
14,Emotes FFemote unlocker fire,elyousfi apps,Food & Drink,9.5 MB,3.6,11T,1M+,3+
15,EATCLUB: Order Food Online,PHPL,Food & Drink,27 MB,4.6,20T,500K+,3+
16,Zomato Delivery Partner,Zomato Logistics,Food & Drink,3.9 MB,3.6,1T,500K+,3+
17,UrbanKisaan,UrbanKisaan,Food & Drink,19 MB,2.5,886,100K+,3+
18,La Pino'z Order Online Pizza,Uengage,Food & Drink,9.0 MB,2.5,14T,1M+,3+
19,Barbeque Nation - Casual Dining Restaurant,Barbeque Nation Hospitality ltd,Food & Drink,25 MB,4.5,23T,1M+,3+
20,Oven Story Pizza- Delivery App,FOODX,Food & Drink,16 MB,3.8,17T,1M+,3+
21,Behrouz Biryani - Order Biryani Online,FOODX,Food & Drink,20 MB,4.0,12T,1M+,3+
22,Dineout: Restaurant Offers,dineout,Food & Drink,34 MB,4.7,64T,5M+,3+
23,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food & Drink,53 MB,3.7,43L,100M+,3+
24,Zomato Restaurant Partner,Zomato,Food & Drink,14 MB,4.3,21T,1M+,3+
25,"Fipola - Order Fresh Meat, Chicken, Fish & Lamb",Fipola,Food & Drink,14 MB,4.7,3T,100K+,3+
26,Starbucks India,Starbucks Coffee Company,Food & Drink,25 MB,3.7,4T,500K+,3+
27,BOX8 - Order Food Online | Food Delivery App,PHPL,Food & Drink,27 MB,4.4,66T,1M+,3+
28,Swad Cooking Institute,Swad Cooking Institute,Food & Drink,22 MB,3.3,475,100K+,3+
29,App GOOD FOOD - Home Food,App GOOD FOOD - India,Food & Drink,60 MB,3.7,284,50K+,3+
