Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,what3words,what3words,Maps & Navigation,43 MB,4.0,26T,10M+,3+
2,"Ola, Safe and affordable rides",ola,Maps & Navigation,31 MB,4.3,19L,100M+,3+
3,Rapido Bike Taxi & Auto,Rapido Bike Taxi,Maps & Navigation,18 MB,4.0,7L,10M+,3+
4,CarInfo: RTO Vehicle Information App,Car Info,Maps & Navigation,15 MB,4.5,7L,10M+,3+
5,Uber - Easy affordable trips,"Uber Technologies, Inc.",Maps & Navigation,64 MB,4.2,94L,500M+,3+
6,Chalo - Live Bus Tracking App,Chalo,Maps & Navigation,16 MB,4.2,49T,5M+,3+
7,"GPS, Maps, Voice Navigation and Destinations",AppStar Studios,Maps & Navigation,41 MB,3.9,71T,50M+,3+
8,Guardians from Truecaller,Truecaller,Maps & Navigation,11 MB,4.4,41T,1M+,3+
9,Rapido Captain- Bike Taxi|Auto,Rapido Bike Taxi,Maps & Navigation,32 MB,4.1,1L,5M+,3+
10,inDriver - Alternative Taxi. Get Cheap Rides,® SUOL INNOVATIONS LTD,Maps & Navigation,28 MB,4.7,29L,100M+,3+
11,Live Earth Map HD – Live Cam & Satellite View,Globally Live Satellite View Map,Maps & Navigation,4.7 MB,4.1,27T,10M+,3+
12,GPS Maps Navigation & Location,Multi Tech Apps,Maps & Navigation,15 MB,4.5,16T,1M+,3+
13,Radarbot: Speed Camera Detector & Speedometer,Iteration Mobile & Vialsoft Apps,Maps & Navigation,57 MB,4.4,3L,10M+,3+
14,Pataa - Address Made Simple,Pataa Navigations Pvt. Ltd.,Maps & Navigation,26 MB,3.7,7T,5M+,3+
15,"GPS Navigation - Maps, Directions",Infinity App Studios,Maps & Navigation,11 MB,4.1,213,100K+,3+
16,Porter Delivery Partner - Attach mini truck & bike,SmartShift Logistics Solutions Private Limited,Maps & Navigation,19 MB,3.5,20T,1M+,3+
17,GPS Speedometer - Odometer App,Trusted Android Apps- PDF Reader & Documents Tools,Maps & Navigation,4.5 MB,4.3,48T,5M+,3+
18,"Live Street View 360 – Satellite View, Earth Map",Live Satellite View Earth Map - Symmetric Apps,Maps & Navigation,9.6 MB,3.9,20T,5M+,3+
19,Ola Lite: Lighter Faster Ola App. Book Taxi & Cabs,ola,Maps & Navigation,531 kB,3.1,21T,5M+,3+
20,Gps Area Calculator,KBK INFOSOFT,Maps & Navigation,14 MB,3.8,18T,5M+,3+
21,Bangalore Traffic -Check Fines,Ansoftsys apps,Maps & Navigation,10 MB,4.2,14T,500K+,3+
22,Dishaank,KSRSAC KGIS,Maps & Navigation,24 MB,4.3,21T,1M+,3+
23,OYE! Rickshaw: Book a ride,OYE RICKSHAW,Maps & Navigation,9.3 MB,4.0,4T,500K+,3+
24,RTO Vehicle Information,Hangover Studios,Maps & Navigation,5.6 MB,4.3,44T,1M+,3+
25,Live Street Map View 2021,FreetoUse,Maps & Navigation,9.5 MB,3.9,4T,1M+,3+
26,GPS Navigation -  Route Finder & Maps Navigator,Travel Tools Studio,Maps & Navigation,10 MB,4.1,4T,1M+,3+
27,Tummoc: Bus Metro Route App,Transhelp Technologies Pvt Ltd,Maps & Navigation,16 MB,4.7,2T,100K+,3+
28,Uber Lite,"Uber Technologies, Inc.",Maps & Navigation,11 MB,4.2,4L,10M+,3+
29,"Radar GO-X: HUD, GPS, Maps",duff hl studio,Maps & Navigation,22 MB,4.2,14T,1M+,3+
30,Delhi Metro Rail,Delhi Metro Rail Corporation,Maps & Navigation,20 MB,4.2,56T,5M+,3+
31,VOGO -Scooter & Bike Rental App | Rent.Ride.Return,Vogo Automotive Pvt Ltd,Maps & Navigation,14 MB,4.0,53T,1M+,3+
32,GPS Route Finder-Compass & Speedometer Navigation,Handy Tools Studio,Maps & Navigation,11 MB,4.0,15T,5M+,3+
33,"Chartr - Tickets, Bus and Metro",Chartr Mobility,Maps & Navigation,17 MB,3.9,8T,500K+,3+
34,Find My Device - Lost Phone Tracker,AppSoNix,Maps & Navigation,14 MB,3.1,1T,1M+,3+
35,GPS Route Finder : Maps Navigation & Directions,Luko Parallel App Pvt Ltd,Maps & Navigation,18 MB,4.4,1L,10M+,3+
36,Uncle Delivery - Fast Delivery,Uncle Delivery Express Private Limited,Maps & Navigation,39 MB,4.1,311,50K+,3+
37,Sealdah Suburban Tracking System,Sr Dee OP,Maps & Navigation,6.3 MB,4.3,5T,1M+,3+
38,Bounce - Rent Bikes & Scooters | Sanitized Rentals,WickedRide,Maps & Navigation,30 MB,4.1,1L,1M+,3+
39,Traffic Bangalore: Check Fines,Kode Blink Tech Apps LLP,Maps & Navigation,6.4 MB,3.9,34T,1M+,3+
40,Car Key Lock Remote Simulator,Polysoft Studios,Maps & Navigation,3.5 MB,4.1,7T,5M+,3+
41,Ola Operator,ola,Maps & Navigation,7.8 MB,4.3,82T,5M+,3+
42,"Moovit: Bus, Rail, Timetables, Maps",Moovit,Maps & Navigation,23 MB,4.2,11L,100M+,3+
43,"Caller ID Name Locator & Tracker, Spam blocking",Luko Parallel App Pvt Ltd,Maps & Navigation,7.8 MB,4.1,16T,1M+,3+
44,"Delhi Metro Navigator - Fare, Route, Map, Offline",Tilzmatic Tech,Maps & Navigation,9.9 MB,4.7,86T,1M+,3+
45,Smartplay Studio,Maruti Suzuki India Limited,Maps & Navigation,6.1 MB,3.4,1T,500K+,3+
46,"GPS Speedometer: Speed Tracker, HUD, Odometer",KTW Apps,Maps & Navigation,3.4 MB,4.0,28T,5M+,3+
47,GPS Navigation - Route Planner,Video Downloader - Download Videos - Video Player,Maps & Navigation,8.6 MB,4.3,56T,10M+,12+
48,Qibla Finder : Qibla Direction,Broken-Dev : Islamic Apps,Maps & Navigation,14 MB,3.5,102,50K+,3+
49,Track My Bus,Conjoinix Total Solutions Private Limited,Maps & Navigation,7.8 MB,2.3,2T,1M+,3+
50,GPS Speedometer - Trip Meter - Odometer,California Cyber Developers,Maps & Navigation,8.5 MB,3.8,65T,5M+,3+
