Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,PharmEasy - Healthcare App,Axelia Solutions Private Limited,Medical,18 MB,4.6,5L,10M+,3+
2,TATA 1mg Online Healthcare App,Tata 1MG Healthcare Solutions Private Limited,Medical,12 MB,4.5,4L,10M+,3+
3,Netmeds - India Ki Pharmacy,Netmeds Marketplace Limited,Medical,17 MB,4.3,3L,10M+,3+
4,Apollo 247 - Online Doctor & Apollo Pharmacy App,Apollo Hospitals Enterprise Limited,Medical,37 MB,4.2,1L,5M+,3+
5,Phable: Health Tracker for Diabetes & Hypertension,PhableCare,Medical,51 MB,3.6,24T,1M+,3+
6,Healthians -Full Body Checkup,Healthians.com,Medical,36 MB,4.4,13T,1M+,3+
7,"Eka Care: Health Records, ABHA",Eka Care,Medical,16 MB,4.6,9T,1M+,3+
8,Truemeds - online medicine app,Intellihealth Solutions Private Limited,Medical,15 MB,4.2,33T,1M+,3+
9,Practo: Online Doctor Consultations & Appointments,"Practo - Doctors, Consult Online, Order Medicines",Medical,30 MB,4.5,2L,5M+,3+
10,Zeno Health - Generic Pharmacy,Workcell Solutions Pvt. Ltd.,Medical,4.6 MB,3.8,1T,100K+,3+
11,RT-PCR,National Informatics Centre.,Medical,23 MB,3.4,5T,1M+,3+
12,"MediBuddy -Consult Doctor Online, Book Blood Test","Online Doctor, Lab Test, Health Check up",Medical,42 MB,4.2,1L,1M+,3+
13,Finserv Health Doctor near me,"Bajaj Finserv Health: Consult Online, Aarogya Care",Medical,30 MB,4.5,10T,1M+,3+
14,"MFine - Online Doctors, Lab Tests",mfine - Consult Online with Doctor & Book Lab Test,Medical,36 MB,4.5,71T,5M+,3+
15,"SastaSundar-Genuine Medicine, Pathology,Doctor App",SastaSundar Marketplace Limited,Medical,7.1 MB,4.6,83T,1M+,3+
16,MedPlus Mart - Online Pharmacy,MedPlus Health Services Pvt. Ltd,Medical,8.0 MB,4.3,24T,1M+,3+
17,Dr Lal PathLabs,Dr Lal PathLabs,Medical,23 MB,4.0,17T,1M+,3+
18,ALHOSN UAE,Ministry of Health and Prevention - UAE,Medical,8.8 MB,4.4,44T,5M+,3+
19,Breast Cancer Guide,Expert Health Studio,Medical,4.9 MB,3.5,10T,5M+,18+
20,WellnessForever - Most Trusted Online Medicine App,Wellness,Medical,26 MB,3.9,6T,1M+,3+
21,Docon for Patients,Docon Technologies Private Limited,Medical,26 MB,4.8,8T,500K+,3+
22,mySugr - Diabetes Tracker Log,mySugr GmbH,Medical,52 MB,4.3,63T,1M+,3+
23,MedShr: Discuss Clinical Cases,MedShr,Medical,15 MB,3.8,9T,1M+,3+
24,NDHM Health Records,National Health Authority,Medical,16 MB,3.1,1T,100K+,3+
25,Netmeds Wholesale,Netmeds Marketplace Limited,Medical,11 MB,3.1,594,100K+,3+
26,Avey - Your health pal,Rimads QSTP-LLC,Medical,35 MB,3.6,409,500K+,3+
27,Man Matters - Digital Health Clinic For Men,Man Matters,Medical,33 MB,4.4,3T,100K+,3+
28,Curia,Innoplexus AG,Medical,16 MB,4.0,326,500K+,3+
29,Vaccine Certificate Verifier,Government of Malaysia,Medical,6.6 MB,3.9,759,500K+,3+
30,Immune مناعة,Ministry Of Health - Kuwait,Medical,10 MB,4.2,12T,1M+,3+
31,Instant Body Temperature Checker : Fever Tracker,Health Fitness Tools Apps,Medical,14 MB,2.8,3T,500K+,3+
32,Blood Pressure Analyze,Waterfull Rainbow,Medical,8.0 MB,3.8,10T,1M+,3+
33,NAVICA India,Abbott,Medical,3.3 MB,1.3,375,10K+,3+
34,SRL Diagnostics,SRL Limited,Medical,20 MB,3.3,12T,1M+,3+
35,Medlife Is Now PharmEasy,Axelia Solutions Private Limited,Medical,18 MB,4.2,3L,10M+,3+
36,Instant Blood Pressure Checker Original BP Tracker,Health Medics Design Apps,Medical,16 MB,3.4,4T,500K+,3+
37,JioHealthHub,Jio Platforms Limited,Medical,22 MB,4.3,11T,1M+,3+
38,AyusCare,"ISIRI Technologies, Pvt Ltd",Medical,11 MB,4.2,888,100K+,3+
39,Neuria,Innoplexus Consulting Services Pvt Ltd,Medical,16 MB,4.8,23,10K+,3+
40,NH Care – Video Consult or Book Appointment online,NarayanaHealth,Medical,19 MB,4.0,905,100K+,3+
41,Saya,Tested Generic Aggregator,Medical,13 MB,4.5,553,50K+,3+
42,myUpchar - Your Family Doctor,myUpchar - Doctorvahini Pvt Ltd,Medical,17 MB,4.4,10T,1M+,3+
43,myFortis,Fortis Healthcare Limited,Medical,30 MB,2.9,2T,500K+,3+
44,Mahakavach,Maharashtra State Innovation Society,Medical,2.4 MB,4.0,1T,500K+,3+
45,MasMedi - Healthcare Solutions,Masmedi,Medical,11 MB,4.6,41,5K+,3+
46,"Period Calendar, Cycle Tracker",SimpleInnovation,Medical,19 MB,4.8,3L,10M+,3+
47,Pristyn Care,Pristyn Care,Medical,10 MB,4.3,292,100K+,3+
48,Medical X-Ray Interpretation with 100+ Cases,engrshams,Medical,5.4 MB,3.1,2T,1M+,3+
49,SMC COVID-19 Tracker,Surat Municipal Corporation (SMC),Medical,8.5 MB,3.9,575,100K+,3+
50,"Tata Health- Online Doctor Consult, Lab and Pharma",Tata Health,Medical,19 MB,4.5,5T,1M+,3+
51,Body Temperature Tracker,Two Golden Venture,Medical,14 MB,2.6,10T,1M+,3+
52,WhiteCoats-Doctors Networking App,ValueMomentum,Medical,24 MB,4.6,769,50K+,3+
53,IGIMS,IGIMS,Medical,21 MB,3.7,1T,100K+,12+
54,3D Bones and Organs (Anatomy),Education Mobile,Medical,38 MB,4.4,18T,1M+,3+
55,Pregnancy Tracker,Amila,Medical,14 MB,4.7,2L,5M+,3+
56,Marrow - The Gold Standard for NEET PG,Neuroglia Health,Medical,19 MB,4.3,45T,1M+,3+
57,108 Gujarat,GVK EMRI GUJARAT,Medical,10 MB,4.0,857,100K+,3+
58,Bone Age App,Digicity inc,Medical,23 MB,3.7,814,500K+,3+
59,Manipal Hospitals,Manipal Hospitals,Medical,11 MB,3.5,370,100K+,3+
