Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,"iFonts - highlights cover, fonts, wallpapers",Onbillion Ltd,Personalisation,19 MB,2.9,6T,10M+,3+
2,ZEDGE™ Wallpapers & Ringtones,Zedge,Personalisation,28 MB,4.3,95L,100M+,12+
3,Name Ringtone Maker,DoubleRun Technology,Personalisation,5.5 MB,3.8,8T,10M+,3+
4,MobCup Ringtones & Wallpapers,MobCup,Personalisation,13 MB,4.3,21T,5M+,12+
5,Fonts Keyboard,Fonts Keyboard,Personalisation,5.1 MB,4.3,8L,50M+,3+
6,Edge Lighting - Borderlight,ZipoApps,Personalisation,7.1 MB,4.1,1L,10M+,3+
7,Multi Space - Dual App & Multiple Account,MultiSpace Tech,Personalisation,10 MB,4.5,92T,10M+,3+
8,Diamond Live Wallpaper & Animated Keyboard,Live Wallpapers and Emoji Keyboard Themes,Personalisation,9.2 MB,4.1,1L,10M+,12+
9,Stylish Fonts & Keyboard,Wisdomlogix Solutions,Personalisation,18 MB,3.8,2L,10M+,3+
10,अपने नाम की रिंगटोन बनाए - Name Ringtone Maker,Video Maker & Lyrical Video Status LLC,Personalisation,6.4 MB,3.9,2T,1M+,3+
11,Wave Live Wallpapers Maker 3D,Live Wallpapers by Wave Studio,Personalisation,69 MB,4.0,1L,10M+,7+
12,GB Version 21.0,PLK COLLECTIONS INC.,Personalisation,12 MB,3.9,62T,10M+,3+
13,Photo Lock App - Hide Pictures & Videos,Donna Danley,Personalisation,10 MB,4.1,2L,50M+,3+
14,Ultra Junk Cleaner - Memory & Performance Booster,UNCLEBO LTD,Personalisation,9.0 MB,3.7,1L,10M+,3+
15,"Wallpapers HD, 4K Backgrounds",WallpapersCraft | WallCraft,Personalisation,25 MB,4.0,5L,100M+,12+
16,Themes,The Gosa Design,Personalisation,10 MB,3.6,33T,10M+,3+
17,Cool Wallpapers and Keyboard - Steampunk Pipes,Live Wallpapers and Emoji Keyboard Themes,Personalisation,29 MB,4.1,99T,10M+,12+
18,Mi Control Center,ZipoApps,Personalisation,7.1 MB,4.1,1L,10M+,3+
19,Neon LED Keyboard - RGB Lighting Colors,AZ Mobile Software,Personalisation,25 MB,4.4,5L,10M+,3+
20,My photo phone dialer - Phone Dialer - Contacts,Judi Studio,Personalisation,6.3 MB,4.1,50T,10M+,3+
21,Color Call Flash- Call Screen Call Phone LED Flash,ColorCallStudio,Personalisation,15 MB,4.1,52T,10M+,3+
22,App Hider- Hide Apps Hide Photos Multiple Accounts,Hide Apps (NO ROOT),Personalisation,9.3 MB,4.0,3L,10M+,3+
23,Nickname Fire 🔥 : Free Nickfinder App 💎,Happy-verse,Personalisation,11 MB,4.4,1L,10M+,3+
24,4D Live Wallpaper–HD Wallpaper,ZERO Tech,Personalisation,8.1 MB,4.1,73T,10M+,3+
25,My Name Ringtone Maker,Mobi Softech,Personalisation,6.6 MB,4.0,19T,10M+,3+
26,"LED Keyboard: Emoji, Font, RGB",Zayzik : LED Keyboard Studio,Personalisation,21 MB,4.5,3L,10M+,3+
27,Edge Lighting Colors - Round Colors Galaxy,Sunny Lighting,Personalisation,4.4 MB,4.3,3L,10M+,3+
28,Edge Lighting: Notification Light & Live Wallpaper,AZ Mobile Software,Personalisation,10 MB,4.5,29T,1M+,3+
29,"BoBopaper-wallpapers,4k,live",wzhe,Personalisation,11 MB,3.9,21,50K+,3+
30,3D Live wallpaper - 4K&HD,ZERO Tech,Personalisation,8.5 MB,4.1,97T,10M+,12+
31,"Live Wallpaper 3D + Widgets: clock, date & battery",Gif Keyboard Themes for Android,Personalisation,29 MB,4.2,12T,1M+,3+
32,Real Followers & Likes for Instagram from Ins Tags,Marc Atencgo LTD,Personalisation,14 MB,4.7,4L,1M+,3+
33,Gold lock screen,Premium zipper lock screen,Personalisation,11 MB,3.6,1L,10M+,3+
34,Launcher iOS 15,LuuTinh Developer,Personalisation,8.2 MB,4.7,20L,50M+,3+
35,Pixel 4D™ Live Wallpapers,HelectronSoft Wallpapers,Personalisation,8.0 MB,4.0,7L,10M+,12+
36,"Call Screen Themes, Color Call",Ayago Dev,Personalisation,9.7 MB,4.1,82T,10M+,3+
37,Wallpapers,Android Station,Personalisation,6.4 MB,4.4,55T,10M+,3+
38,My Photo Phone Dialer : Photo Caller Screen Dialer,Dronax Studio Inc.,Personalisation,13 MB,4.0,2T,1M+,12+
39,Wallpapers HD,Wallpapers HD inc.,Personalisation,6.9 MB,3.7,8T,5M+,3+
40,Animated Sticker Maker for WA,Let Sticker Team,Personalisation,28 MB,3.9,1L,10M+,3+
41,"4K Wallpapers - HD, Live Backgrounds, Auto Changer",Roomb Apps,Personalisation,13 MB,4.5,22T,1M+,16+
42,Clone App - App Cloner & Parallel Space,Arty Product,Personalisation,23 MB,4.1,2L,10M+,3+
43,Transparent - Live Wallpaper,HD Camera,Personalisation,2.0 MB,4.2,2L,10M+,3+
44,Fonts Art: Keyboard Font Maker,AIBY Inc.,Personalisation,87 MB,4.2,21T,5M+,3+
45,Indian Flag Wallpaper HD,RajaTech,Personalisation,20 MB,4.3,227,50K+,3+
46,Ultra Volume Control Styles,ZipoApps,Personalisation,6.4 MB,4.1,37T,5M+,3+
47,I love you live wallpaper,HD Wallpaper themes,Personalisation,14 MB,3.8,41T,10M+,3+
48,GreenShark Game Space,AppSamuraiDev,Personalisation,10 MB,4.0,17T,1M+,3+
49,HD Wallpapers (Backgrounds),Android Station,Personalisation,6.9 MB,4.2,95T,10M+,3+
50,4K Wallpapers Auto Changer,Yas Team,Personalisation,7.5 MB,3.5,218,100K+,3+
51,Vivo Themes,KHUN SOE ZAW THU,Personalisation,4.4 MB,3.7,13T,1M+,3+
52,"Color Call Flash- Call Screen, Color Phone Flash",toolslab,Personalisation,17 MB,4.3,56T,10M+,3+
53,Microsoft Launcher,Microsoft Corporation,Personalisation,14 MB,4.6,14L,10M+,3+
54,4D Wallpaper Background 2021,hongqing,Personalisation,8.8 MB,4.4,9T,1M+,12+
55,"Apex Launcher - Customize,Secure,and Efficient",Android Does Team,Personalisation,18 MB,4.2,3L,10M+,3+
56,Volume Styles - Customize your Volume Panel Slider,Tom Bayley,Personalisation,4.5 MB,4.2,97T,10M+,3+
57,Transparent Camera Screen,ShamiTech Apps,Personalisation,20 MB,4.3,18T,1M+,3+
58,MP3 Music Ringtones Downloader,Mobi Softech,Personalisation,8.1 MB,3.8,7T,1M+,3+
59,Glitter Live Wallpaper Glitzy,Vinwap,Personalisation,8.9 MB,4.1,1L,10M+,3+
60,Photo Caller Screen - Full Screen Caller ID,"Background Changer, Eraser & Booth Photo Editor",Personalisation,26 MB,3.8,10T,5M+,3+
61,Always On Edge - Not Only LED!,Alrbea Ent.,Personalisation,4.5 MB,4.3,1L,5M+,3+
62,Mobiles Ringtones Download All Mp3 Ringtones Free,Watermelon Tech,Personalisation,7.6 MB,4.1,16T,5M+,3+
63,Ringtone Maker - create free ringtones from music,Big Bang Inc.,Personalisation,4.4 MB,4.3,6L,50M+,3+
64,Color Call Screen Themes : Color Phone Flash,Dronax Studio Inc.,Personalisation,26 MB,3.6,725,100K+,12+
65,One Shade: Custom Notification,ZipoApps,Personalisation,6.9 MB,4.1,29T,1M+,3+
66,Nova Launcher,TeslaCoil Software,Personalisation,5.5 MB,4.3,12L,50M+,3+
67,iCenter iOS15 - Control Center,Zayzik : LED Keyboard Studio,Personalisation,12 MB,4.2,43T,1M+,3+
68,Ringtones App,AppStar Studios,Personalisation,14 MB,3.8,29T,10M+,3+
69,Launcher iPhone,SaS Developer,Personalisation,41 MB,4.5,2L,10M+,3+
70,Glitter Live Wallpaper,Kisoft Live Wallpapers,Personalisation,6.2 MB,4.2,97T,10M+,12+
71,"Wave Keyboard Background - Animations, Emojis, GIF",Live Wallpapers by Wave Studio,Personalisation,24 MB,4.2,2L,10M+,3+
72,10000 Nature Wallpapers,Piddo apps,Personalisation,3.6 MB,4.2,53T,10M+,3+
73,Romantic Love Photo Frames,Visu Entertainment,Personalisation,22 MB,4.0,46T,10M+,12+
74,Control Center IOS 15 - Screen Recorder,FA developer,Personalisation,5.4 MB,4.4,5L,10M+,3+
75,Chat Style : Stylish Font & Keyboard For Whatsapp,Black Tools Collection,Personalisation,9.2 MB,3.8,659,100K+,3+
76,Sticker Maker - Make Sticker for WhatsApp stickers,Sticker Maker Studio,Personalisation,18 MB,4.5,1L,5M+,3+
77,"Color Call Flash - Color Call Screen, Phone LED",Aleyna Rosas,Personalisation,22 MB,4.0,1T,500K+,3+
78,"TrueDialer: Phone Caller ID, Call Block & Themes",AZ Mobile Software,Personalisation,14 MB,4.1,3T,1M+,3+
79,Water Garden Live Wallpaper,Illusionsoft Inc.,Personalisation,16 MB,4.1,1L,10M+,3+
80,Mega Charging Animation,exleno,Personalisation,21 MB,4.0,4T,500K+,3+
81,Themes,"Huawei Technologies Co., Ltd.",Personalisation,53 MB,3.8,1L,500M+,3+
82,Color Call Screen - Caller Phone Flash,Singal Message,Personalisation,10 MB,4.0,2T,1M+,3+
83,Animals and Birds Ring Tones,SkyTek Apps,Personalisation,18 MB,4.0,9T,1M+,3+
84,4k wallpaper Full HD wallpaper (background),DEHA,Personalisation,17 MB,4.1,3L,10M+,12+
85,Font Style,Bitsharper,Personalisation,6.7 MB,3.2,22T,1M+,3+
86,Rummy Wealth,Fire Unicorn,Personalisation,8.3 MB,4.9,20,5K+,3+
87,Touch Lock Screen - Touch Photo Position Password,Pic Frame Photo Collage Maker & Picture Editor,Personalisation,12 MB,3.7,4T,1M+,3+
88,Luminous live wallpaper,Live wallpapers 2021,Personalisation,11 MB,3.6,4T,500K+,3+
