Rank,Name,Developer,Category,Size,Star Rating,Reviews,Downloads,Rated for
1,Meesho: Online Shopping App,Meesho,Shopping,14 MB,4.4,15L,100M+,3+
2,Shopee: Online Shopping,Shopee,Shopping,68 MB,4.2,86T,10M+,3+
3,Flipkart Online Shopping App,Flipkart,Shopping,18 MB,4.3,2Cr,100M+,12+
4,Shopsy Shopping App - Flipkart,Shopsy,Shopping,17 MB,4.3,3L,10M+,3+
5,Amazon India - Shop & Pay,Amazon Mobile LLC,Shopping,57 MB,4.2,79L,100M+,3+
6,Zepto: 10-Min Grocery Delivery,KiranaKart Technologies Private Limited,Shopping,14 MB,3.9,5T,1M+,3+
7,Snapdeal: Online Shopping App,Snapdeal Limited,Shopping,19 MB,4.5,23L,100M+,3+
8,DealShare - Online Grocery App,dealshare.in,Shopping,21 MB,4.2,1L,10M+,3+
9,JioMart Online Shopping App,Jio Platforms Limited,Shopping,11 MB,4.4,10L,10M+,3+
10,AJIO Online Shopping App,Reliance Retail Ltd,Shopping,17 MB,4.3,21L,100M+,3+
11,Myntra Online Shopping App,Myntra,Shopping,16 MB,4.3,36L,100M+,3+
12,OLX: Buy & Sell Near You with Online Classifieds,OLX Global B.V.,Shopping,20 MB,4.2,25L,100M+,12+
13,Yaari: Online Shopping App,Indiabulls Integrated Services Limited,Shopping,6.0 MB,4.0,31T,5M+,3+
14,FRAAZO - Grocery Shopping App,Fraazo,Shopping,16 MB,4.3,33T,1M+,3+
15,Nykaa Fashion – Online Shopping App,Nykaa.com,Shopping,20 MB,4.0,31T,10M+,3+
16,Cashify - Sell Old & Used Mobile Phones Online,Cashify.in,Shopping,18 MB,4.3,1L,10M+,3+
17,CityMall - Online Grocery Shop,City Mall Live,Shopping,19 MB,4.5,39T,1M+,3+
18,Tata CLiQ Online Shopping App India,Tata Unistore Limited,Shopping,35 MB,4.1,2L,10M+,3+
19,CoutLoot|Local Online Shopping,CoutLoot,Shopping,22 MB,3.9,25T,5M+,3+
20,Nykaa: Beauty Shopping App,Nykaa.com,Shopping,17 MB,4.6,7L,10M+,3+
21,Big Bazaar - Making India Beautiful,Future Group Food,Shopping,11 MB,3.0,16T,5M+,3+
22,simsim - Watch Videos & Shop,simsim shopping,Shopping,16 MB,4.1,52T,10M+,3+
23,FirstCry India - Baby & Kids,FirstCry.com,Shopping,34 MB,4.4,3L,10M+,3+
24,CSC Grameen eStore for Customers/Citizens,CSC e-Governance Services India Limited,Shopping,11 MB,4.5,2T,100K+,3+
25,Purplle Online Beauty Shopping,Purplle.com,Shopping,16 MB,4.4,1L,10M+,3+
26,CashKaro - Cashback & Coupons,CashKaro,Shopping,15 MB,3.8,71T,10M+,3+
27,GIVA Jewellery: Hallmarked Silver Online,GIVA,Shopping,34 MB,4.2,5T,1M+,3+
28,bigbasket: Grocery Shopping,Bigbasket.com,Shopping,20 MB,4.5,6L,10M+,3+
29,Lenskart : Eyeglasses & More,Lenskart,Shopping,19 MB,4.1,3L,10M+,3+
30,Mamaearth – Natural Beauty & Baby Products Store,Honasa Consumer Private Limited,Shopping,20 MB,4.5,51T,5M+,3+
31,ShopClues: Online Shopping App,ShopClues,Shopping,12 MB,3.3,6L,50M+,3+
32,"Zivame - Shop Lingerie, Activewear, Apparel Online",Zivame,Shopping,13 MB,4.3,56T,10M+,3+
33,Urbanic - Women Fashion Online,MAYSQUARE LIFESTYLE PRIVATE LIMITED,Shopping,11 MB,4.3,35T,10M+,3+
34,"Fresh To Home - Order Chicken, Raw Seafood & Meat",FreshToHome,Shopping,5.4 MB,4.2,66T,5M+,3+
35,Pepperfry Buy Furniture Online,Pepperfry,Shopping,11 MB,4.2,55T,5M+,3+
36,realme Store,realme Mobile,Shopping,31 MB,4.2,1L,10M+,3+
37,Smytten: Try Sample Products,Smytten,Shopping,14 MB,4.4,2L,5M+,3+
38,Alibaba.com - Leading online B2B Trade Marketplace,Alibaba Mobile,Shopping,62 MB,4.2,15L,100M+,3+
